order_id,customer_id,order_date,order_status,shipping_city,shipping_state
ORD00000029,CUST003113,2024-03-01 01:46:50,Shipped,Sambalpur,Goa
ORD00000030,CUST000712,2026-01-07 16:30:12,Delivered,Bikaner,Himachal Pradesh
ORD00000031,CUST000755,2024-05-08 21:08:51,Delivered,Dewas,Chhattisgarh
ORD00000032,CUST000771,2025-12-07 07:55:48,Delivered,Bharatpur,Punjab
ORD00000033,CUST002764,2025-01-09 23:14:52,Delivered,Kirari Suleman Nagar,Andhra Pradesh
ORD00000034,CUST003845,2024-02-23 08:22:05,Delivered,Bhatpara,Goa
ORD00000035,CUST004528,2025-12-01 21:55:03,Delivered,Loni,Manipur
ORD00000036,CUST003364,2024-05-27 12:07:58,Delivered,Tirunelveli,Rajasthan
ORD00000037,CUST001052,2026-07-10 20:38:20,Returned,Bhiwani,Kerala
ORD00000038,CUST000232,2026-02-25 12:01:42,Delivered,Davanagere,Bihar
ORD00000039,CUST004113,2024-10-08 12:51:58,Delivered,Bhagalpur,Kerala
ORD00000040,CUST004629,2025-08-26 00:19:43,Pending,Raurkela Industrial Township,Haryana
ORD00000041,CUST004389,2024-03-16 16:13:20,Delivered,Nangloi Jat,Chhattisgarh
ORD00000042,CUST000964,2026-03-13 17:19:35,Delivered,Saharsa,Punjab
ORD00000043,CUST003701,2025-03-31 18:21:08,Returned,Tadepalligudem,Jharkhand
ORD00000044,CUST000327,2025-03-26 22:40:15,Delivered,Latur,Odisha
ORD00000045,CUST003496,2024-06-19 08:57:51,Cancelled,Berhampur,Rajasthan
ORD00000046,CUST000630,2024-11-05 07:50:47,Delivered,Gandhinagar,Jharkhand
ORD00000047,CUST002041,2024-01-09 20:13:54,Delivered,Nagaon,Kerala
ORD00000048,CUST001447,2025-08-08 05:07:30,Delivered,Meerut,Bihar
ORD00000049,CUST001497,2024-12-13 01:48:00,Delivered,Jalna,Andhra Pradesh
ORD00000050,CUST004781,2026-02-05 09:27:36,Delivered,Raichur,Tamil Nadu
ORD00000051,CUST003643,2024-06-29 08:07:54,Delivered,Gandhinagar,Bihar
ORD00000052,CUST001141,2024-07-24 01:16:46,Cancelled,Gaya,Telangana
ORD00000053,CUST004958,2026-05-24 05:36:52,Delivered,Hosur,Punjab
ORD00000054,CUST004065,2025-07-23 14:39:31,Pending,Anantapur,Kerala
ORD00000055,CUST003523,2024-02-01 21:41:50,Cancelled,Anantapuram,Assam
ORD00000056,CUST003018,2026-04-24 06:34:32,Delivered,Thane,Arunachal Pradesh
ORD00000057,CUST003881,2024-02-22 02:20:41,Delivered,Dhanbad,Punjab
ORD00000058,CUST004566,2025-10-17 22:48:58,Delivered,Latur,Bihar
ORD00000059,CUST000715,2025-02-12 04:59:00,Returned,Motihari,Meghalaya
ORD00000060,CUST002930,2026-01-07 07:19:18,Delivered,Pallavaram,Nagaland
ORD00000061,CUST001993,2024-08-01 15:23:18,Delivered,Madurai,Odisha
ORD00000062,CUST001328,2024-05-14 04:23:15,Delivered,Bhind,Tamil Nadu
ORD00000063,CUST001610,2025-11-23 23:53:32,Delivered,Tiruvottiyur,Nagaland
ORD00000064,CUST004473,2025-08-02 22:15:41,Delivered,Gurgaon,Arunachal Pradesh
ORD00000065,CUST003915,2024-04-13 19:11:18,Shipped,Raipur,Odisha
ORD00000066,CUST001520,2026-06-23 07:01:32,Delivered,Kozhikode,Mizoram
ORD00000067,CUST004585,2024-03-02 18:12:08,Delivered,Kharagpur,Assam
ORD00000068,CUST001208,2025-04-11 13:36:09,Delivered,Bihar Sharif,Meghalaya
ORD00000069,CUST003201,2024-01-18 09:19:42,Delivered,Dhule,Mizoram
ORD00000070,CUST004180,2024-01-19 21:33:35,Delivered,Khora ,Rajasthan
ORD00000071,CUST002179,2026-06-28 15:44:17,Delivered,Guwahati,Mizoram
ORD00000072,CUST002485,2024-07-31 22:02:02,Delivered,Ghaziabad,Madhya Pradesh
ORD00000073,CUST001997,2026-01-16 06:12:22,Pending,Ghaziabad,Kerala
ORD00000074,CUST001546,2026-01-07 12:19:08,Delivered,Nangloi Jat,Rajasthan
ORD00000075,CUST001755,2024-06-02 20:44:25,Delivered,Bhopal,Uttarakhand
ORD00000076,CUST004531,2026-04-21 00:57:37,Returned,Pudukkottai,Himachal Pradesh
ORD00000077,CUST000581,2024-08-14 23:27:53,Delivered,Kishanganj,Bihar
ORD00000078,CUST004177,2024-08-13 21:00:08,Returned,Silchar,West Bengal
ORD00000079,CUST000558,2026-01-12 01:30:51,Delivered,Bidar,Tripura
ORD00000080,CUST000595,2026-05-29 11:52:41,Delivered,Jabalpur,Mizoram
ORD00000081,CUST003388,2025-07-15 21:59:33,Shipped,Nangloi Jat,Gujarat
ORD00000082,CUST002151,2025-09-23 07:22:19,Delivered,Kulti,Jharkhand
ORD00000083,CUST003538,2024-03-07 15:45:35,Returned,Baranagar,Tamil Nadu
ORD00000084,CUST003233,2024-02-12 23:26:05,Delivered,Rampur,Himachal Pradesh
ORD00000085,CUST003062,2025-08-30 01:11:37,Delivered,New Delhi,Madhya Pradesh
ORD00000086,CUST001841,2024-07-16 19:04:13,Delivered,Aurangabad,Himachal Pradesh
ORD00000087,CUST004175,2025-09-23 12:36:18,Delivered,Chandigarh,Karnataka
ORD00000088,CUST001289,2025-01-09 21:49:47,Delivered,Bangalore,Arunachal Pradesh
ORD00000089,CUST002357,2026-02-11 06:28:46,Pending,Vijayanagaram,Himachal Pradesh
ORD00000090,CUST003546,2024-02-18 00:33:28,Delivered,Ghaziabad,Telangana
ORD00000091,CUST004602,2024-05-11 19:09:49,Cancelled,Kolkata,Meghalaya
ORD00000092,CUST001193,2024-03-03 01:23:23,Delivered,Nellore,Sikkim
ORD00000093,CUST003222,2025-03-12 06:13:51,Delivered,Patna,Mizoram
ORD00000094,CUST002798,2025-04-16 11:11:02,Returned,Gaya,Rajasthan
ORD00000095,CUST004959,2025-05-23 02:42:56,Shipped,Mysore,Goa
ORD00000096,CUST003850,2026-03-05 11:51:49,Delivered,Nashik,Arunachal Pradesh
ORD00000097,CUST004830,2026-05-20 05:18:37,Shipped,Katni,Assam
ORD00000098,CUST004958,2026-06-10 15:49:40,Delivered,Hosur,Punjab
ORD00000099,CUST002762,2024-05-21 08:16:01,Cancelled,Madhyamgram,Andhra Pradesh
ORD00000100,CUST002806,2026-04-07 13:57:13,Delivered,Raipur,Telangana
