month,category,customer_segment,order_status,net_revenue,discount,items,orders
2024-01-01,Electronics,Silver,SHIPPED,916444.5700000001,52275.68,35,12
2024-01-01,Fashion,Gold,CANCELLED,204107.46000000002,5064.65,7,3
2024-01-01,Fashion,Gold,DELIVERED,3203614.36,419245.67,99,39
2024-01-01,Fashion,Gold,PENDING,179359.95,59786.65,4,1
2024-01-01,Fashion,Gold,RETURNED,84708.20999999999,21644.79,7,4
2024-01-01,Fashion,Gold,SHIPPED,724817.1599999999,46543.59,20,7
2024-01-01,Fashion,Platinum,CANCELLED,162782.16,0.0,3,1
2024-01-01,Fashion,Platinum,DELIVERED,2374895.76,263594.32,81,24
2024-01-01,Fashion,Platinum,PENDING,335014.43000000005,3541.56,5,2
2024-01-01,Fashion,Platinum,RETURNED,484943.68,59719.99,13,5
2024-01-01,Fashion,Platinum,SHIPPED,619902.34,41316.33,11,4
2024-01-01,Fashion,Regular,CANCELLED,2012131.38,70590.93,54,20
2024-01-01,Fashion,Regular,DELIVERED,19614175.89,1514458.3599999999,588,212
2024-01-01,Fashion,Regular,PENDING,1583819.76,81431.17,47,21
2024-01-01,Fashion,Regular,RETURNED,1805400.45,138963.63,51,19
2024-01-01,Fashion,Regular,SHIPPED,2012460.72,238754.58000000002,74,23
2024-01-01,Fashion,Silver,CANCELLED,804319.4,93007.42,24,8
2024-01-01,Fashion,Silver,DELIVERED,8940046.09,707845.4299999999,232,80
2024-01-01,Fashion,Silver,PENDING,406488.06999999995,7845.44,11,4
2024-01-01,Fashion,Silver,RETURNED,846454.59,100005.23,23,7
2024-01-01,Fashion,Silver,SHIPPED,543110.92,69462.33,14,6
2024-01-01,Furniture,Gold,CANCELLED,233466.55,11241.65,6,3
2024-01-01,Furniture,Gold,DELIVERED,4700934.2,420080.11,137,53
2024-01-01,Furniture,Gold,PENDING,265081.5,38315.3,8,2
2024-01-01,Furniture,Gold,RETURNED,111888.95999999999,27256.760000000002,6,3
2024-01-01,Furniture,Gold,SHIPPED,490398.74,57514.759999999995,13,6
2024-01-01,Furniture,Platinum,DELIVERED,2055783.4,150050.52,69,24
2024-01-01,Furniture,Platinum,PENDING,12329.94,0.0,3,1
2024-01-01,Furniture,Platinum,RETURNED,214394.15,51068.89,8,4
2024-01-01,Furniture,Platinum,SHIPPED,288530.43,72906.41,7,3
2024-01-01,Furniture,Regular,CANCELLED,2552782.88,230788.74,80,28
2024-01-01,Furniture,Regular,DELIVERED,22574735.23,1716946.01,642,217
2024-01-01,Furniture,Regular,PENDING,3712649.38,333476.03,102,29
2024-01-01,Furniture,Regular,RETURNED,3264112.35,236669.47999999998,93,26
2024-01-01,Furniture,Regular,SHIPPED,1422282.97,119965.46,46,18
2024-01-01,Furniture,Silver,CANCELLED,790780.6,36837.46,31,10
2024-01-01,Furniture,Silver,DELIVERED,9322090.81,715255.28,262,88
2024-01-01,Furniture,Silver,PENDING,734195.05,22873.23,21,4
2024-01-01,Furniture,Silver,RETURNED,359167.19999999995,11557.72,15,4
2024-01-01,Furniture,Silver,SHIPPED,1585789.04,135630.95,36,13
2024-01-01,Home,Gold,CANCELLED,739491.01,109847.69,24,6
2024-01-01,Home,Gold,DELIVERED,6618562.64,695809.14,174,57
2024-01-01,Home,Gold,PENDING,244275.96000000002,38760.939999999995,7,3
2024-01-01,Home,Gold,RETURNED,707504.67,33468.3,19,9
2024-01-01,Home,Gold,SHIPPED,1213970.22,98053.64,32,11
2024-01-01,Home,Platinum,DELIVERED,2205992.16,68455.06999999999,58,23
2024-01-01,Home,Platinum,PENDING,77378.41,8597.6,3,1
2024-01-01,Home,Platinum,RETURNED,183283.15999999997,12308.86,4,2
2024-01-01,Home,Platinum,SHIPPED,181441.41,18248.260000000002,6,3
2024-01-01,Home,Regular,CANCELLED,3759961.52,288540.81,100,30
2024-01-01,Home,Regular,DELIVERED,21180729.59,1791341.42,626,216
2024-01-01,Home,Regular,PENDING,2916995.92,236652.54,79,30
2024-01-01,Home,Regular,RETURNED,4581371.5200000005,336418.65,106,30
2024-01-01,Home,Regular,SHIPPED,3911640.46,288621.59,105,30
2024-01-01,Home,Silver,CANCELLED,706177.85,64205.11,16,6
2024-01-01,Home,Silver,DELIVERED,8653396.55,682674.85,235,81
2024-01-01,Home,Silver,PENDING,1673920.74,114093.55,35,11
2024-01-01,Home,Silver,RETURNED,853374.04,74686.19,22,7
2024-01-01,Home,Silver,SHIPPED,1429665.84,121323.65000000001,39,11
2024-01-01,Sports,Gold,CANCELLED,1267394.89,203250.11,30,10
2024-01-01,Sports,Gold,DELIVERED,5115063.97,589443.22,150,44
2024-01-01,Sports,Gold,PENDING,88074.25,4635.49,2,1
2024-01-01,Sports,Gold,RETURNED,427533.31,59587.43,15,5
2024-01-01,Sports,Gold,SHIPPED,1935414.65,138865.76,46,11
2024-01-01,Sports,Platinum,CANCELLED,478090.04000000004,61509.24,10,2
2024-01-01,Sports,Platinum,DELIVERED,2902326.02,174254.48,88,30
2024-01-01,Sports,Platinum,PENDING,274187.75,4733.37,7,2
2024-01-01,Sports,Platinum,RETURNED,104387.89,18262.52,5,1
2024-01-01,Sports,Platinum,SHIPPED,165551.37,8713.23,4,1
2024-01-01,Sports,Regular,CANCELLED,1916073.84,195777.84999999998,54,19
2024-01-01,Sports,Regular,DELIVERED,24285438.1,2637438.46,678,229
2024-01-01,Sports,Regular,PENDING,3554680.76,324247.72,97,37
2024-01-01,Sports,Regular,RETURNED,4632337.06,293353.08,101,32
2024-01-01,Sports,Regular,SHIPPED,2507112.59,171603.09,58,20
2024-01-01,Sports,Silver,CANCELLED,493947.39999999997,64561.259999999995,20,7
2024-01-01,Sports,Silver,DELIVERED,9291913.01,875597.64,251,82
2024-01-01,Sports,Silver,PENDING,1299940.12,116546.39,40,11
2024-01-01,Sports,Silver,RETURNED,1194546.33,100962.45,33,11
2024-01-01,Sports,Silver,SHIPPED,329597.93,25649.8,12,4
2024-01-01,Toys,Gold,CANCELLED,187135.18,2460.26,10,2
2024-01-01,Toys,Gold,DELIVERED,3763903.36,372606.68,103,38
2024-01-01,Toys,Gold,PENDING,392941.58,37779.43,12,4
2024-01-01,Toys,Gold,RETURNED,322049.14,22253.6,11,5
2024-01-01,Toys,Gold,SHIPPED,955129.53,71901.73,27,11
2024-01-01,Toys,Platinum,CANCELLED,538668.08,0.0,12,2
2024-01-01,Toys,Platinum,DELIVERED,1386181.84,149448.19,50,19
2024-01-01,Toys,Platinum,PENDING,63324.1,11174.84,1,1
2024-01-01,Toys,Platinum,RETURNED,124893.96,0.0,2,1
2024-01-01,Toys,Platinum,SHIPPED,148398.15,19534.69,3,1
2024-01-01,Toys,Regular,CANCELLED,2825048.05,151559.82,81,28
2024-01-01,Toys,Regular,DELIVERED,22587405.86,1938648.0,696,226
2024-01-01,Toys,Regular,PENDING,2505104.75,201609.22,82,27
2024-01-01,Toys,Regular,RETURNED,3146445.51,333662.0,92,27
2024-01-01,Toys,Regular,SHIPPED,2404334.11,273528.34,82,29
2024-01-01,Toys,Silver,CANCELLED,611022.72,43225.83,19,6
2024-01-01,Toys,Silver,DELIVERED,7843170.85,758016.4400000001,267,98
2024-01-01,Toys,Silver,PENDING,460598.82,10259.19,21,8
2024-01-01,Toys,Silver,RETURNED,474268.67,33285.76,12,4
2024-01-01,Toys,Silver,SHIPPED,812726.97,51335.14,23,6
2024-02-01,Beauty,Gold,CANCELLED,282770.24,11754.150000000001,11,5
2024-02-01,Beauty,Gold,DELIVERED,4562778.04,443604.71,108,42
2024-02-01,Beauty,Gold,PENDING,559838.56,91240.14,17,6
2024-02-01,Beauty,Gold,RETURNED,419600.52,24990.96,8,3
2024-02-01,Beauty,Gold,SHIPPED,303018.48,22479.72,6,2
2024-02-01,Beauty,Platinum,CANCELLED,11622.9,2905.73,1,1
2024-02-01,Beauty,Platinum,DELIVERED,1299262.11,156800.21000000002,39,14
2024-02-01,Beauty,Platinum,PENDING,406332.47,44290.91,7,2
2024-02-01,Beauty,Platinum,RETURNED,1041161.78,66871.76,24,5
2024-02-01,Beauty,Platinum,SHIPPED,84868.83,19181.800000000003,5,1
2024-02-01,Beauty,Regular,CANCELLED,2196637.71,109482.39,56,20
2024-02-01,Beauty,Regular,DELIVERED,23351006.43,2317112.7,612,201
2024-02-01,Beauty,Regular,PENDING,2626644.55,223671.58,68,20
2024-02-01,Beauty,Regular,RETURNED,1140755.45,86699.16,30,11
2024-02-01,Beauty,Regular,SHIPPED,1705291.58,168697.91999999998,55,19
2024-02-01,Beauty,Silver,CANCELLED,808777.7999999999,67196.0,20,9
2024-02-01,Beauty,Silver,DELIVERED,8636126.77,731499.42,210,63
2024-02-01,Beauty,Silver,PENDING,790181.76,81162.06,24,8
2024-02-01,Beauty,Silver,RETURNED,1384478.15,206088.65999999997,34,13
2024-02-01,Beauty,Silver,SHIPPED,1341156.02,166210.57,36,12
2024-02-01,Books,Gold,CANCELLED,1196546.24,130973.26999999999,27,10
2024-02-01,Books,Gold,DELIVERED,5491695.64,429615.62,151,47
2024-02-01,Books,Gold,PENDING,422056.46,25921.14,9,2
2024-02-01,Books,Gold,RETURNED,601518.24,76386.06,15,4
2024-02-01,Books,Gold,SHIPPED,958954.92,123568.98,26,9
2024-02-01,Books,Platinum,CANCELLED,63177.93,21059.31,2,1
2024-02-01,Books,Platinum,DELIVERED,1980251.4100000001,154259.21,57,19
2024-02-01,Books,Platinum,PENDING,236583.09999999998,18407.32,4,2
2024-02-01,Books,Platinum,RETURNED,141806.65,0.0,5,2
2024-02-01,Books,Platinum,SHIPPED,668144.61,76211.2,16,4
2024-02-01,Books,Regular,CANCELLED,2536835.33,165887.81,60,20
2024-02-01,Books,Regular,DELIVERED,23655470.69,1947721.8,636,216
2024-02-01,Books,Regular,PENDING,2738241.09,348202.26,69,23
2024-02-01,Books,Regular,RETURNED,2168258.29,185477.52,56,18
2024-02-01,Books,Regular,SHIPPED,3742026.98,402812.42,94,33
2024-02-01,Books,Silver,CANCELLED,703758.44,58392.92,26,8
2024-02-01,Books,Silver,DELIVERED,6199072.96,489495.35,156,56
2024-02-01,Books,Silver,PENDING,749510.79,71459.73000000001,16,6
2024-02-01,Books,Silver,RETURNED,957228.04,45644.31,24,9
2024-02-01,Books,Silver,SHIPPED,1544198.82,79588.41,37,9
2024-02-01,Electronics,Gold,CANCELLED,538715.23,62083.8,15,6
2024-02-01,Electronics,Gold,DELIVERED,3131451.52,253512.88,88,32
2024-02-01,Electronics,Gold,PENDING,488337.51,51668.990000000005,17,5
2024-02-01,Electronics,Gold,RETURNED,515016.52,30524.28,21,5
2024-02-01,Electronics,Gold,SHIPPED,804681.54,61042.89,21,6
2024-02-01,Electronics,Platinum,CANCELLED,441509.82999999996,6636.94,8,4
2024-02-01,Electronics,Platinum,DELIVERED,2078368.51,150845.97,60,17
2024-02-01,Electronics,Platinum,PENDING,277858.06,8117.26,5,3
2024-02-01,Electronics,Platinum,RETURNED,181397.87,14190.98,7,2
2024-02-01,Electronics,Platinum,SHIPPED,315604.76,43321.1,10,3
2024-02-01,Electronics,Regular,CANCELLED,1308163.76,102436.56999999999,49,16
2024-02-01,Electronics,Regular,DELIVERED,19824386.63,1788418.22,578,200
2024-02-01,Electronics,Regular,PENDING,1951721.4000000001,170688.6,52,20
2024-02-01,Electronics,Regular,RETURNED,2601238.57,192504.97,65,24
2024-02-01,Electronics,Regular,SHIPPED,2967143.99,324931.35,96,31
2024-02-01,Electronics,Silver,CANCELLED,1163192.82,105543.20999999999,37,12
2024-02-01,Electronics,Silver,DELIVERED,4480509.11,365628.29,133,51
2024-02-01,Electronics,Silver,PENDING,323371.16,26744.329999999998,13,6
2024-02-01,Electronics,Silver,RETURNED,540768.54,31206.25,16,6
2024-02-01,Electronics,Silver,SHIPPED,1024416.35,104107.37000000001,32,9
2024-02-01,Fashion,Gold,CANCELLED,399404.38,24213.59,11,4
2024-02-01,Fashion,Gold,DELIVERED,5273768.0,303298.63,128,39
2024-02-01,Fashion,Gold,PENDING,538853.38,37643.93,18,6
2024-02-01,Fashion,Gold,RETURNED,412950.4,6414.27,10,4
2024-02-01,Fashion,Gold,SHIPPED,883197.52,96895.85,24,9
2024-02-01,Fashion,Platinum,CANCELLED,8782.52,462.24,4,1
2024-02-01,Fashion,Platinum,DELIVERED,2897533.1999999997,275953.18,82,23
2024-02-01,Fashion,Platinum,PENDING,197472.41999999998,34319.869999999995,7,2
2024-02-01,Fashion,Platinum,RETURNED,366872.89,31266.129999999997,11,5
2024-02-01,Fashion,Platinum,SHIPPED,78189.0,26063.0,4,1
2024-02-01,Fashion,Regular,CANCELLED,1669012.36,94922.18000000001,50,20
2024-02-01,Fashion,Regular,DELIVERED,21850453.88,1905475.87,624,207
2024-02-01,Fashion,Regular,PENDING,1213827.62,125423.98999999999,32,10
2024-02-01,Fashion,Regular,RETURNED,1651465.8,137308.14,55,19
2024-02-01,Fashion,Regular,SHIPPED,2000979.74,144521.72,63,23
2024-02-01,Fashion,Silver,CANCELLED,775261.75,68881.41,29,10
2024-02-01,Fashion,Silver,DELIVERED,7517969.51,778408.77,202,66
2024-02-01,Fashion,Silver,PENDING,732664.01,67541.24,16,7
2024-02-01,Fashion,Silver,RETURNED,774501.61,59840.86,19,7
2024-02-01,Fashion,Silver,SHIPPED,1565651.48,138741.83,48,15
2024-02-01,Furniture,Gold,CANCELLED,662088.71,115779.84,18,6
2024-02-01,Furniture,Gold,DELIVERED,4430372.48,455470.21,162,47
2024-02-01,Furniture,Gold,PENDING,834545.72,67706.79000000001,18,7
2024-02-01,Furniture,Gold,RETURNED,965000.68,80801.27,25,9
2024-02-01,Furniture,Gold,SHIPPED,1144998.87,68689.44,32,10
2024-02-01,Furniture,Platinum,DELIVERED,2269429.2800000003,166874.63999999998,61,20
2024-02-01,Furniture,Platinum,PENDING,228985.02000000002,40409.13,6,2
2024-02-01,Furniture,Platinum,RETURNED,730361.2799999999,48494.04,16,6
2024-02-01,Furniture,Platinum,SHIPPED,110715.1,487.13,5,2
2024-02-01,Furniture,Regular,CANCELLED,2156897.91,155321.95,74,24
2024-02-01,Furniture,Regular,DELIVERED,22390680.59,2010266.48,654,233
2024-02-01,Furniture,Regular,PENDING,2102102.93,98632.78,56,17
2024-02-01,Furniture,Regular,RETURNED,2075411.21,158630.4,51,18
2024-02-01,Furniture,Regular,SHIPPED,2724108.66,207057.21,86,25
2024-02-01,Furniture,Silver,CANCELLED,1000989.0,68177.39,31,11
2024-02-01,Furniture,Silver,DELIVERED,6662164.08,531820.05,210,76
2024-02-01,Furniture,Silver,PENDING,952894.95,118747.51999999999,25,12
2024-02-01,Furniture,Silver,RETURNED,844640.3,87378.5,36,12
2024-02-01,Furniture,Silver,SHIPPED,1347828.25,92805.7,44,12
2024-02-01,Home,Gold,CANCELLED,961219.38,27597.26,29,8
2024-02-01,Home,Gold,DELIVERED,6320408.39,682317.88,176,53
2024-02-01,Home,Gold,PENDING,1008844.7799999999,54945.14,26,6
2024-02-01,Home,Gold,RETURNED,270297.28,21950.73,8,5
2024-02-01,Home,Gold,SHIPPED,748975.46,28587.77,16,7
2024-02-01,Home,Platinum,CANCELLED,522259.85000000003,20525.67,13,4
2024-02-01,Home,Platinum,DELIVERED,2053358.63,117881.18,45,17
2024-02-01,Home,Platinum,PENDING,249171.57,54771.28999999999,6,3
2024-02-01,Home,Platinum,RETURNED,34485.75,3831.75,1,1
2024-02-01,Home,Platinum,SHIPPED,77878.68,10903.560000000001,2,2
2024-02-01,Home,Regular,CANCELLED,3250294.95,340631.7,85,24
2024-02-01,Home,Regular,DELIVERED,23809649.15,2088661.95,631,215
2024-02-01,Home,Regular,PENDING,1423791.44,131382.11000000002,59,22
2024-02-01,Home,Regular,RETURNED,2614504.46,222780.88999999998,68,24
2024-02-01,Home,Regular,SHIPPED,3810935.06,374241.32,99,38
2024-02-01,Home,Silver,CANCELLED,718982.4,52612.83,25,9
2024-02-01,Home,Silver,DELIVERED,7663713.81,620922.67,233,76
2024-02-01,Home,Silver,PENDING,944891.27,40592.990000000005,33,10
2024-02-01,Home,Silver,RETURNED,1535409.24,80735.38,33,11
2024-02-01,Home,Silver,SHIPPED,867439.6799999999,96890.21,22,11
2024-02-01,Sports,Gold,CANCELLED,1189342.93,52223.43,32,9
2024-02-01,Sports,Gold,DELIVERED,4254912.58,363562.05,122,45
2024-02-01,Sports,Gold,PENDING,977543.4199999999,64944.399999999994,24,9
2024-02-01,Sports,Gold,RETURNED,337889.38,12389.11,9,3
2024-02-01,Sports,Gold,SHIPPED,459704.65,39740.21,15,7
2024-02-01,Sports,Platinum,DELIVERED,1710908.0,126364.12,57,16
2024-02-01,Sports,Platinum,PENDING,412113.27,9758.68,7,2
2024-02-01,Sports,Platinum,RETURNED,565661.98,46541.39,14,4
2024-02-01,Sports,Platinum,SHIPPED,154515.36,33873.369999999995,4,2
2024-02-01,Sports,Regular,CANCELLED,2529246.57,148615.5,68,23
2024-02-01,Sports,Regular,DELIVERED,20575640.41,1736104.11,568,192
2024-02-01,Sports,Regular,PENDING,2731323.09,329856.24,77,26
2024-02-01,Sports,Regular,RETURNED,1862208.3900000001,127755.72,58,20
2024-02-01,Sports,Regular,SHIPPED,2888756.32,285792.48,100,31
2024-02-01,Sports,Silver,CANCELLED,1144111.01,87329.65,33,11
2024-02-01,Sports,Silver,DELIVERED,7671770.14,760990.03,222,72
2024-02-01,Sports,Silver,PENDING,949829.1699999999,53734.5,23,9
2024-02-01,Sports,Silver,RETURNED,304831.96,46297.7,11,5
2024-02-01,Sports,Silver,SHIPPED,804295.1599999999,34249.130000000005,19,6
2024-02-01,Toys,Gold,CANCELLED,646708.31,65271.45,12,6
2024-02-01,Toys,Gold,DELIVERED,2819295.38,269989.27,94,33
2024-02-01,Toys,Gold,PENDING,710658.06,54264.75,18,6
2024-02-01,Toys,Gold,RETURNED,177973.89,9367.05,3,1
2024-02-01,Toys,Gold,SHIPPED,2070053.2,120956.34,43,10
2024-02-01,Toys,Platinum,CANCELLED,30494.46,7623.61,1,1
2024-02-01,Toys,Platinum,DELIVERED,2220320.9699999997,121883.36,71,24
2024-02-01,Toys,Platinum,PENDING,352533.69999999995,13392.9,7,2
2024-02-01,Toys,Platinum,RETURNED,319549.07,16174.26,10,3
2024-02-01,Toys,Platinum,SHIPPED,335124.04000000004,45685.98,9,3
2024-02-01,Toys,Regular,CANCELLED,2413681.48,176940.36000000002,77,27
2024-02-01,Toys,Regular,DELIVERED,18029147.9,1369960.8900000001,588,196
2024-02-01,Toys,Regular,PENDING,2070450.0899999999,139745.29,58,21
2024-02-01,Toys,Regular,RETURNED,2603296.35,222451.03,73,22
2024-02-01,Toys,Regular,SHIPPED,1944903.21,172194.09,53,21
2024-02-01,Toys,Silver,CANCELLED,761986.32,118395.63,21,7
2024-02-01,Toys,Silver,DELIVERED,5313248.44,399144.06,161,58
2024-02-01,Toys,Silver,PENDING,776454.21,55391.54,25,8
2024-02-01,Toys,Silver,RETURNED,635468.76,44007.78,19,9
2024-02-01,Toys,Silver,SHIPPED,911050.91,148022.98,28,12
2024-03-01,Beauty,Gold,CANCELLED,203569.51,34968.23,9,3
2024-03-01,Beauty,Gold,DELIVERED,3749313.86,330252.92,106,39
2024-03-01,Beauty,Gold,PENDING,771404.04,71029.81,25,6
2024-03-01,Beauty,Gold,RETURNED,510064.52,23583.0,13,5
2024-03-01,Beauty,Gold,SHIPPED,861571.64,117956.81,31,8
2024-03-01,Beauty,Platinum,DELIVERED,1726042.45,102784.79,59,20
2024-03-01,Beauty,Platinum,PENDING,426196.26,29100.32,11,2
2024-03-01,Beauty,Platinum,RETURNED,251981.56,24733.949999999997,8,2
2024-03-01,Beauty,Platinum,SHIPPED,138584.98,7293.95,3,1
2024-03-01,Beauty,Regular,CANCELLED,2303133.48,185733.95,58,20
2024-03-01,Beauty,Regular,DELIVERED,27964692.29,2469426.17,733,239
2024-03-01,Beauty,Regular,PENDING,4285880.01,228077.2,98,31
2024-03-01,Beauty,Regular,RETURNED,2977752.12,237505.94999999998,62,19
2024-03-01,Beauty,Regular,SHIPPED,3701877.24,253174.13,108,38
2024-03-01,Beauty,Silver,CANCELLED,654394.87,121597.59999999999,17,7
2024-03-01,Beauty,Silver,DELIVERED,7915618.7700000005,635266.72,197,67
2024-03-01,Beauty,Silver,PENDING,1308360.31,197114.86000000002,29,6
2024-03-01,Beauty,Silver,RETURNED,474447.71,47505.76,14,7
2024-03-01,Beauty,Silver,SHIPPED,1728086.6099999999,250325.46000000002,36,12
2024-03-01,Books,Gold,CANCELLED,523222.11,13524.84,20,6
2024-03-01,Books,Gold,DELIVERED,5975438.43,703758.96,155,50
2024-03-01,Books,Gold,PENDING,518635.23,7062.33,10,5
2024-03-01,Books,Gold,RETURNED,668515.1699999999,44924.520000000004,17,5
2024-03-01,Books,Gold,SHIPPED,355565.28,28329.67,10,5
2024-03-01,Books,Platinum,CANCELLED,121490.26,13498.92,2,1
2024-03-01,Books,Platinum,DELIVERED,2344167.46,185897.44,63,17
2024-03-01,Books,Platinum,PENDING,126931.82,8510.93,10,4
2024-03-01,Books,Platinum,RETURNED,50173.11,0.0,1,1
2024-03-01,Books,Platinum,SHIPPED,97823.81,20477.11,3,2
2024-03-01,Books,Regular,CANCELLED,4289233.9,252613.76,90,33
2024-03-01,Books,Regular,DELIVERED,26104513.94,2237150.49,671,225
2024-03-01,Books,Regular,PENDING,2281940.31,218285.84,66,21
2024-03-01,Books,Regular,RETURNED,1274430.12,242187.34,41,15
2024-03-01,Books,Regular,SHIPPED,5400928.32,431896.41000000003,136,43
2024-03-01,Books,Silver,CANCELLED,998067.86,79076.92,31,11
2024-03-01,Books,Silver,DELIVERED,7875383.359999999,661618.95,218,78
2024-03-01,Books,Silver,PENDING,1000667.21,93757.66,26,10
2024-03-01,Books,Silver,RETURNED,813695.47,109546.3,29,9
2024-03-01,Books,Silver,SHIPPED,2702958.74,111694.3,58,17
2024-03-01,Electronics,Gold,CANCELLED,598671.28,90484.91,20,5
2024-03-01,Electronics,Gold,DELIVERED,4718692.08,376993.05,118,42
2024-03-01,Electronics,Gold,PENDING,304394.55,47001.340000000004,11,4
2024-03-01,Electronics,Gold,RETURNED,514965.88,66848.06,21,6
2024-03-01,Electronics,Gold,SHIPPED,1845484.57,158061.44999999998,44,12
2024-03-01,Electronics,Platinum,CANCELLED,46788.97,642.58,5,2
2024-03-01,Electronics,Platinum,DELIVERED,1244872.45,144182.52,36,16
2024-03-01,Electronics,Platinum,PENDING,363089.48,22512.09,8,3
2024-03-01,Electronics,Platinum,RETURNED,144654.53999999998,0.0,4,1
2024-03-01,Electronics,Platinum,SHIPPED,198103.27,40923.15,6,2
2024-03-01,Electronics,Regular,CANCELLED,2245002.2,243491.2,68,24
2024-03-01,Electronics,Regular,DELIVERED,21652618.45,2051411.4,647,221
2024-03-01,Electronics,Regular,PENDING,1127333.61,154457.97999999998,38,16
2024-03-01,Electronics,Regular,RETURNED,961836.3200000001,56757.42,37,12
2024-03-01,Electronics,Regular,SHIPPED,3645029.4,265267.96,87,33
2024-03-01,Electronics,Silver,CANCELLED,1237890.07,57356.25,29,11
2024-03-01,Electronics,Silver,DELIVERED,10281976.85,772718.23,259,89
2024-03-01,Electronics,Silver,PENDING,807418.56,65484.3,20,7
2024-03-01,Electronics,Silver,RETURNED,15373.86,4777.25,3,2
2024-03-01,Electronics,Silver,SHIPPED,990750.6799999999,50111.41,26,14
