order_date,total_orders,total_items,gross_revenue,total_discount,total_tax,net_revenue,average_order_value,unique_customers
2024-03-16,47,332,12698637.90,1218761.53,0.00,11479876.37,244252.69,47
2024-03-17,56,496,18716606.97,1503893.41,0.00,17212713.56,307369.89,55
2024-03-18,58,467,16153661.51,1247150.53,0.00,14906510.98,257008.81,57
2024-03-19,52,406,15253748.44,981132.04,0.00,14272616.40,274473.39,52
2024-03-20,58,396,15870041.13,1553803.47,0.00,14316237.66,246831.68,57
2024-03-21,70,536,21658670.32,1811477.81,0.00,19847192.51,283531.32,70
2024-03-22,59,413,16205699.09,1361274.60,0.00,14844424.49,251600.42,58
2024-03-23,56,495,19164141.52,1549933.95,0.00,17614207.57,314539.42,55
2024-03-24,54,364,13878122.97,1142405.72,0.00,12735717.25,235846.62,54
2024-03-25,43,312,12678235.26,1084959.20,0.00,11593276.06,269611.07,43
2024-03-26,53,426,17291497.89,1358573.22,0.00,15932924.67,300621.22,53
2024-03-27,59,405,15664860.39,1052426.05,0.00,14612434.34,247668.38,59
2024-03-28,50,391,14284210.78,1232044.64,0.00,13052166.14,261043.32,50
2024-03-29,53,345,13310672.24,1064189.05,0.00,12246483.19,231065.72,52
2024-03-30,40,364,14732861.01,1408720.40,0.00,13324140.61,333103.52,40
2024-03-31,52,339,13481722.02,1110457.55,0.00,12371264.47,237908.93,52
2024-04-01,39,291,11233030.06,1106543.32,0.00,10126486.74,259653.51,39
2024-04-02,49,389,15033978.97,1314472.95,0.00,13719506.02,279989.92,49
2024-04-03,62,442,15933191.96,1244851.36,0.00,14688340.60,236908.72,62
2024-04-04,37,342,12443707.78,957145.30,0.00,11486562.48,310447.63,37
2024-04-05,60,515,20308627.30,1351707.82,0.00,18956919.48,315948.66,60
2024-04-06,46,320,11619769.75,829176.63,0.00,10790593.12,234578.11,46
2024-04-07,51,328,13094313.13,1047788.51,0.00,12046524.62,236206.37,51
2024-04-08,39,315,12297756.09,1188343.67,0.00,11109412.42,284856.73,39
2024-04-09,51,366,13922401.88,1052360.65,0.00,12870041.23,252353.75,51
2024-04-10,54,366,15193598.46,1119547.23,0.00,14074051.23,260630.58,54
2024-04-11,56,456,17720033.44,1317295.61,0.00,16402737.83,292906.03,56
2024-04-12,51,401,14622154.15,1079368.06,0.00,13542786.09,265544.83,51
2024-04-13,56,391,14603149.24,980543.71,0.00,13622605.53,243260.81,56
2024-04-14,54,431,15529750.71,1224129.42,0.00,14305621.29,264918.91,54
2024-04-15,56,425,15766263.13,1177225.67,0.00,14589037.46,260518.53,55
2024-04-16,63,447,14973079.67,1047514.22,0.00,13925565.45,221040.72,63
2024-04-17,50,387,13892539.49,1018803.73,0.00,12873735.76,257474.72,50
2024-04-18,47,336,12004817.63,1030705.85,0.00,10974111.78,233491.74,47
2024-04-19,66,445,17779673.70,1473231.02,0.00,16306442.68,247067.31,66
2024-04-20,55,395,14527810.26,1073289.61,0.00,13454520.65,244627.65,52
2024-04-21,68,544,21123822.47,1536355.16,0.00,19587467.31,288050.99,68
2024-04-22,42,315,13052817.80,991027.85,0.00,12061789.95,287185.48,41
2024-04-23,44,341,14259021.14,1005104.12,0.00,13253917.02,301225.39,44
2024-04-24,56,423,14795104.99,1159771.03,0.00,13635333.96,243488.11,56
2024-04-25,52,343,13869318.53,1060911.42,0.00,12808407.11,246315.52,52
2024-04-26,49,367,14183997.84,1130989.02,0.00,13053008.82,266387.94,49
2024-04-27,40,310,12423082.55,922140.49,0.00,11500942.06,287523.55,40
2024-04-28,56,440,16613996.90,1449137.96,0.00,15164858.94,270801.05,56
2024-04-29,62,502,19158399.43,1360649.85,0.00,17797749.58,287060.48,62
2024-04-30,50,467,17287293.64,1553681.59,0.00,15733612.05,314672.24,50
2024-05-01,44,305,12447018.13,1068414.68,0.00,11378603.45,258604.62,44
2024-05-02,49,355,13500072.98,1067650.80,0.00,12432422.18,253722.9,49
2024-05-03,66,523,21251444.36,1695412.50,0.00,19556031.86,296303.51,66
2024-05-04,58,477,19133116.44,1276844.55,0.00,17856271.89,307866.76,58
2024-05-05,52,391,15383725.54,972420.83,0.00,14411304.71,277140.48,51
2024-05-06,49,389,13646557.08,862990.71,0.00,12783566.37,260889.11,48
2024-05-07,51,400,14232186.50,1213080.48,0.00,13019106.02,255276.59,51
2024-05-08,58,475,17089159.70,1374964.25,0.00,15714195.45,270934.4,56
2024-05-09,43,321,12325371.53,1140665.31,0.00,11184706.22,260109.45,42
2024-05-10,52,385,14341559.80,1135818.20,0.00,13205741.60,253956.57,52
2024-05-11,69,512,20188511.21,1629687.19,0.00,18558824.02,268968.46,69
2024-05-12,62,434,16630912.61,1299421.61,0.00,15331491.00,247282.11,61
2024-05-13,52,424,15765742.30,1226675.76,0.00,14539066.54,279597.43,52
2024-05-14,63,492,19967190.28,1349073.45,0.00,18618116.83,295525.66,62
2024-05-15,48,369,14434612.65,1014476.50,0.00,13420136.15,279586.17,47
2024-05-16,61,461,17395280.85,1454473.87,0.00,15940806.98,261324.7,61
2024-05-17,60,436,16776320.02,1111032.54,0.00,15665287.48,261088.12,58
2024-05-18,50,408,14051288.89,1081628.33,0.00,12969660.56,259393.21,49
2024-05-19,59,447,17209689.51,1502407.63,0.00,15707281.88,266225.12,59
2024-05-20,56,440,17346771.91,1343934.38,0.00,16002837.53,285764.96,56
2024-05-21,56,409,17017516.84,1513348.79,0.00,15504168.05,276860.14,55
2024-05-22,52,394,14712808.32,1072069.76,0.00,13640738.56,262321.9,52
2024-05-23,52,377,13638196.11,1274406.51,0.00,12363789.60,237765.18,51
2024-05-24,60,428,16903846.25,1388337.20,0.00,15515509.05,258591.82,60
2024-05-25,58,448,15421372.92,1278996.63,0.00,14142376.29,243834.07,58
2024-05-26,43,364,14451310.95,1140369.30,0.00,13310941.65,309556.78,43
2024-05-27,57,445,17429902.86,1392361.96,0.00,16037540.90,281360.37,57
2024-05-28,41,296,11025292.84,757388.52,0.00,10267904.32,250436.69,41
2024-05-29,50,361,13340541.19,1016201.84,0.00,12324339.35,246486.79,49
2024-05-30,42,349,13964739.46,1211311.57,0.00,12753427.89,303653.05,42
2024-05-31,50,432,15648542.03,1298964.23,0.00,14349577.80,286991.56,50
2024-06-01,48,434,16307403.00,1296298.06,0.00,15011104.94,312731.35,48
2024-06-02,43,337,13381822.54,1035751.51,0.00,12346071.03,287117.93,43
2024-06-03,56,423,16543009.79,1678473.07,0.00,14864536.72,265438.16,56
2024-06-04,67,539,20521053.25,1759822.42,0.00,18761230.83,280018.37,67
2024-06-05,59,527,20008918.97,1613159.87,0.00,18395759.10,311792.53,59
2024-06-06,49,341,12227147.69,961436.63,0.00,11265711.06,229912.47,49
2024-06-07,57,427,16393765.33,1245890.30,0.00,15147875.03,265752.19,57
2024-06-08,61,432,16400467.67,1317117.83,0.00,15083349.84,247268.03,60
2024-06-09,65,416,15962172.15,1149065.05,0.00,14813107.10,227893.96,65
2024-06-10,57,459,17151881.65,1322508.18,0.00,15829373.47,277708.31,57
2024-06-11,62,485,17951301.23,1470654.26,0.00,16480646.97,265816.89,62
2024-06-12,55,397,14524671.48,1023298.77,0.00,13501372.71,245479.5,54
2024-06-13,50,405,16574275.54,1428459.01,0.00,15145816.53,302916.33,49
2024-06-14,63,430,17867017.65,1210114.84,0.00,16656902.81,264395.28,63
2024-06-15,56,428,15813648.69,1299363.99,0.00,14514284.70,259183.66,56
2024-06-16,62,482,16226021.80,1212404.70,0.00,15013617.10,242155.11,62
2024-06-17,54,446,17449359.01,1564512.81,0.00,15884846.20,294163.82,52
2024-06-18,62,487,18164242.19,1315411.27,0.00,16848830.92,271755.34,61
2024-06-19,53,420,15310780.51,1299400.75,0.00,14011379.76,264365.66,53
2024-06-20,51,435,16344719.28,1404267.47,0.00,14940451.81,292950.04,51
2024-06-21,57,457,17104901.82,1492346.06,0.00,15612555.76,273904.49,56
2024-06-22,53,414,15436915.49,1124470.87,0.00,14312444.62,270046.12,52
2024-06-23,46,363,14562868.83,1076229.60,0.00,13486639.23,293187.81,46
2024-06-24,47,319,12832638.33,904086.06,0.00,11928552.27,253798.98,46
2024-06-25,66,571,23156471.83,1854336.45,0.00,21302135.38,322759.63,66
2024-06-26,61,464,18921837.44,1460304.08,0.00,17461533.36,286254.65,61
2024-06-27,52,350,14380688.30,1141895.57,0.00,13238792.73,254592.17,52
2024-06-28,62,482,17465856.71,1537543.75,0.00,15928312.96,256908.27,62
2024-06-29,53,405,17085597.57,1073375.36,0.00,16012222.21,302117.4,53
2024-06-30,45,312,12844085.06,956177.94,0.00,11887907.12,264175.71,45
2024-07-01,63,474,18053009.75,1115683.43,0.00,16937326.32,268846.45,63
2024-07-02,55,403,14658576.98,1210062.36,0.00,13448514.62,244518.45,53
2024-07-03,56,419,14946615.90,1233590.20,0.00,13713025.70,244875.46,56
2024-07-04,54,359,13457403.46,1073878.29,0.00,12383525.17,229324.54,54
2024-07-05,44,344,13067429.40,902661.28,0.00,12164768.12,276472.0,44
2024-07-06,56,432,15612593.59,1191329.18,0.00,14421264.41,257522.58,56
2024-07-07,63,444,16347919.26,1597421.76,0.00,14750497.50,234134.88,63
2024-07-08,54,418,15773966.91,1402454.76,0.00,14371512.15,266139.11,54
2024-07-09,50,371,13646829.61,1110239.13,0.00,12536590.48,250731.81,50
2024-07-10,57,403,15926669.35,1339527.25,0.00,14587142.10,255914.77,56
2024-07-11,57,437,17696320.36,1260068.40,0.00,16436251.96,288355.3,57
2024-07-12,44,298,11850378.00,692312.26,0.00,11158065.74,253592.4,44
2024-07-13,60,471,18963008.26,1611061.17,0.00,17351947.09,289199.12,60
2024-07-14,47,328,12944656.14,1057991.80,0.00,11886664.34,252907.75,47
2024-07-15,56,417,15190577.84,1235123.17,0.00,13955454.67,249204.55,56
2024-07-16,52,439,13872288.35,1008729.66,0.00,12863558.69,247376.13,52
2024-07-17,60,448,16213305.62,1191128.22,0.00,15022177.40,250369.62,59
2024-07-18,46,279,10650157.58,997901.14,0.00,9652256.44,209831.66,46
2024-07-19,55,399,15480106.28,1111213.59,0.00,14368892.69,261252.59,55
2024-07-20,70,534,21046402.03,1698950.79,0.00,19347451.24,276392.16,70
2024-07-21,54,439,15887611.97,1476067.91,0.00,14411544.06,266880.45,53
2024-07-22,54,367,14506975.70,1150053.43,0.00,13356922.27,247350.41,53
2024-07-23,55,405,14970996.65,1113224.94,0.00,13857771.71,251959.49,55
2024-07-24,58,421,16365343.05,1406338.97,0.00,14959004.08,257913.86,58
2024-07-25,48,371,13921181.27,1001068.60,0.00,12920112.67,269169.01,46
2024-07-26,63,490,16801465.22,1150517.55,0.00,15650947.67,248427.74,62
2024-07-27,61,503,18943076.40,1632741.92,0.00,17310334.48,283775.98,59
2024-07-28,51,367,14111497.75,1207148.60,0.00,12904349.15,253026.45,51
2024-07-29,54,363,13116424.85,1086291.96,0.00,12030132.89,222780.24,53
2024-07-30,44,307,11962373.14,965911.86,0.00,10996461.28,249919.57,43
2024-07-31,50,372,14636844.67,1118574.01,0.00,13518270.66,270365.41,50
2024-08-01,55,346,12556019.62,809186.24,0.00,11746833.38,213578.79,55
2024-08-02,52,357,12797738.94,979528.62,0.00,11818210.32,227273.28,49
2024-08-03,54,445,16575038.16,1197800.75,0.00,15377237.41,284763.66,53
2024-08-04,59,461,18509104.08,1568266.60,0.00,16940837.48,287132.84,59
2024-08-05,54,413,15663180.12,1291273.02,0.00,14371907.10,266146.43,54
2024-08-06,52,409,15413801.15,1082825.58,0.00,14330975.57,275595.68,52
2024-08-07,46,351,15375473.09,1111247.53,0.00,14264225.56,310091.86,46
2024-08-08,63,433,16685900.48,1187556.75,0.00,15498343.73,246005.46,63
2024-08-09,60,482,19848808.30,1859897.36,0.00,17988910.94,299815.18,58
2024-08-10,48,371,14556778.86,1125876.42,0.00,13430902.44,279810.47,47
2024-08-11,52,345,13079302.77,1076518.72,0.00,12002784.05,230822.77,52
2024-08-12,60,439,17301049.46,1357020.25,0.00,15944029.21,265733.82,60
2024-08-13,58,421,17705680.29,1425236.38,0.00,16280443.91,280697.31,58
2024-08-14,64,497,18974468.69,1441690.32,0.00,17532778.37,273949.66,64
2024-08-15,45,384,15404849.63,1295138.39,0.00,14109711.24,313549.14,45
2024-08-16,69,471,16274245.81,1089394.64,0.00,15184851.17,220070.31,68
2024-08-17,54,371,14964673.35,1291067.84,0.00,13673605.51,253214.92,54
2024-08-18,54,381,13671117.53,1044602.42,0.00,12626515.11,233824.35,54
2024-08-19,44,353,13949263.73,1144242.05,0.00,12805021.68,291023.22,44
2024-08-20,57,477,18510811.22,1158501.71,0.00,17352309.51,304426.48,56
2024-08-21,63,506,19709213.28,1333696.85,0.00,18375516.43,291674.86,63
2024-08-22,52,375,15720529.78,1249210.07,0.00,14471319.71,278294.61,52
2024-08-23,41,300,11143715.97,787519.35,0.00,10356196.62,252590.16,41
2024-08-24,48,294,10998813.40,827039.76,0.00,10171773.64,211911.95,48
2024-08-25,57,396,14709018.13,1170584.10,0.00,13538434.03,237516.39,57
2024-08-26,60,472,18319788.86,1525646.85,0.00,16794142.01,279902.37,58
2024-08-27,57,438,16320038.46,1164586.03,0.00,15155452.43,265885.13,57
2024-08-28,58,429,16271402.45,1096067.91,0.00,15175334.54,261643.7,58
2024-08-29,51,384,13802217.78,1046312.35,0.00,12755905.43,250115.79,51
2024-08-30,63,479,17095316.83,1238600.55,0.00,15856716.28,251693.91,62
2024-08-31,67,503,18587024.49,1655297.61,0.00,16931726.88,252712.34,67
2024-09-01,53,377,16816365.76,1215012.25,0.00,15601353.51,294365.16,52
2024-09-02,58,426,16613576.95,1284354.85,0.00,15329222.10,264296.93,58
2024-09-03,42,356,14063764.48,1021342.47,0.00,13042422.01,310533.86,42
2024-09-04,48,372,14388414.85,907974.13,0.00,13480440.72,280842.52,48
2024-09-05,53,414,15679073.99,1359106.33,0.00,14319967.66,270188.07,53
2024-09-06,54,404,15357632.03,1137457.46,0.00,14220174.57,263336.57,54
2024-09-07,51,363,13602934.08,904899.35,0.00,12698034.73,248981.07,51
2024-09-08,55,406,15928972.04,1386714.16,0.00,14542257.88,264404.69,55
2024-09-09,50,431,15908977.96,1274875.58,0.00,14634102.38,292682.05,50
2024-09-10,53,377,14378346.99,1035433.96,0.00,13342913.03,251753.08,51
2024-09-11,40,300,10332118.73,732471.33,0.00,9599647.40,239991.19,40
2024-09-12,54,437,16305566.08,1116600.73,0.00,15188965.35,281277.14,54
2024-09-13,53,384,14807984.78,841758.83,0.00,13966225.95,263513.7,53
2024-09-14,53,422,16437106.41,1237071.42,0.00,15200034.99,286793.11,53
2024-09-15,46,308,11610117.66,845439.29,0.00,10764678.37,234014.75,46
2024-09-16,46,381,13885887.33,1113238.91,0.00,12772648.42,277666.27,45
2024-09-17,55,449,16182700.74,1222829.01,0.00,14959871.73,271997.67,55
2024-09-18,49,365,14875539.61,989608.54,0.00,13885931.07,283386.35,48
2024-09-19,49,324,12498912.60,864345.08,0.00,11634567.52,237440.15,49
2024-09-20,59,494,18057307.31,1363806.55,0.00,16693500.76,282940.69,59
2024-09-21,48,368,14445293.94,1205690.36,0.00,13239603.58,275825.07,48
2024-09-22,63,476,17996611.96,1444674.20,0.00,16551937.76,262729.17,63
2024-09-23,46,340,13102406.08,1174704.35,0.00,11927701.73,259297.86,46
2024-09-24,57,453,17616947.06,1258401.21,0.00,16358545.85,286992.03,56
2024-09-25,65,482,17668701.45,1490225.93,0.00,16178475.52,248899.62,65
2024-09-26,74,552,20691955.01,1650361.07,0.00,19041593.94,257318.84,74
2024-09-27,50,334,12675727.28,990405.20,0.00,11685322.08,233706.44,50
2024-09-28,61,480,18180838.21,1419460.40,0.00,16761377.81,274776.69,61
2024-09-29,44,323,11821324.65,684042.41,0.00,11137282.24,253120.05,44
2024-09-30,49,376,14943451.38,1240525.72,0.00,13702925.66,279651.54,49
2024-10-01,59,450,17851102.27,1382515.21,0.00,16468587.06,279128.59,58
2024-10-02,51,446,16513865.35,1210709.18,0.00,15303156.17,300061.89,51
2024-10-03,61,456,17396982.42,1394849.08,0.00,16002133.34,262330.05,60
2024-10-04,51,304,12361699.33,904906.37,0.00,11456792.96,224643.0,51
2024-10-05,56,401,14645661.77,1088855.45,0.00,13556806.32,242085.83,56
2024-10-06,51,326,12545142.65,856054.57,0.00,11689088.08,229197.81,51
2024-10-07,47,358,13355965.42,1153040.26,0.00,12202925.16,259636.71,47
2024-10-08,55,438,16716002.14,1530406.56,0.00,15185595.58,276101.74,55
2024-10-09,45,400,15807437.53,1191384.98,0.00,14616052.55,324801.17,45
2024-10-10,67,516,20386000.81,1703490.38,0.00,18682510.43,278843.44,67
2024-10-11,58,496,18481770.36,1521829.46,0.00,16959940.90,292412.77,58
2024-10-12,58,438,15642163.33,1262049.97,0.00,14380113.36,247932.99,58
2024-10-13,49,368,14757279.93,1127507.10,0.00,13629772.83,278158.63,49
2024-10-14,60,439,16915093.21,1411071.59,0.00,15504021.62,258400.36,60
2024-10-15,50,356,14331697.65,953670.04,0.00,13378027.61,267560.55,49
2024-10-16,75,550,21204136.59,1486396.30,0.00,19717740.29,262903.2,75
2024-10-17,52,370,14619660.11,1298081.20,0.00,13321578.91,256184.21,51
2024-10-18,46,367,13672591.29,1226007.65,0.00,12446583.64,270577.91,46
2024-10-19,53,418,16167618.44,1121983.05,0.00,15045635.39,283879.91,53
2024-10-20,45,308,11380600.71,788391.71,0.00,10592209.00,235382.42,45
2024-10-21,56,408,15355420.07,1371833.44,0.00,13983586.63,249706.9,56
2024-10-22,41,340,12928505.23,1049492.73,0.00,11879012.50,289732.01,41
2024-10-23,57,451,17741001.07,1214219.30,0.00,16526781.77,289943.54,57
2024-10-24,42,307,11411902.25,789458.83,0.00,10622443.42,252915.32,41
2024-10-25,67,553,21150546.33,1647482.47,0.00,19503063.86,291090.51,66
2024-10-26,58,444,16424874.44,1233693.36,0.00,15191181.08,261916.92,58
2024-10-27,64,485,18451016.75,1350546.29,0.00,17100470.46,267194.85,64
2024-10-28,57,393,14362450.68,1009293.41,0.00,13353157.27,234265.92,57
2024-10-29,61,463,17341653.30,1239331.27,0.00,16102322.03,263972.49,61
2024-10-30,44,345,13116259.72,981406.75,0.00,12134852.97,275792.11,43
2024-10-31,49,353,13965025.31,964944.30,0.00,13000081.01,265307.78,49
2024-11-01,52,312,12300741.34,856255.23,0.00,11444486.11,220086.27,52
2024-11-02,57,445,17422744.28,1631019.93,0.00,15791724.35,277047.8,57
2024-11-03,52,358,14181878.84,1079841.72,0.00,13102037.12,251962.25,52
2024-11-04,46,297,10974322.66,933963.41,0.00,10040359.25,218268.68,45
2024-11-05,43,354,13696742.15,1159143.71,0.00,12537598.44,291572.06,43
2024-11-06,41,307,11852152.56,937208.27,0.00,10914944.29,266218.15,41
2024-11-07,49,316,13412049.08,1063546.78,0.00,12348502.30,252010.25,49
2024-11-08,50,399,14876571.51,1022879.54,0.00,13853691.97,277073.84,50
2024-11-09,52,388,14850808.72,1099552.03,0.00,13751256.69,264447.24,52
2024-11-10,58,410,16162725.15,1394905.09,0.00,14767820.06,254617.59,58
2024-11-11,68,530,20775924.48,1789795.44,0.00,18986129.04,279207.78,68
2024-11-12,47,353,13742293.25,996716.76,0.00,12745576.49,271182.48,47
2024-11-13,53,364,13559265.57,1195767.75,0.00,12363497.82,233273.54,53
2024-11-14,53,356,14384468.50,1128794.45,0.00,13255674.05,250107.06,52
2024-11-15,48,323,12335974.22,1049215.94,0.00,11286758.28,235140.8,47
2024-11-16,53,390,14991414.52,1198926.90,0.00,13792487.62,260235.62,53
2024-11-17,48,299,11274046.46,1010781.23,0.00,10263265.23,213818.03,48
2024-11-18,45,313,11923272.73,989155.62,0.00,10934117.11,242980.38,45
2024-11-19,56,366,12420179.65,1008965.49,0.00,11411214.16,203771.68,55
2024-11-20,67,505,17382751.72,1368610.91,0.00,16014140.81,239017.03,66
2024-11-21,42,317,12388014.55,947436.36,0.00,11440578.19,272394.72,41
2024-11-22,46,340,12837504.12,976418.82,0.00,11861085.30,257849.68,46
2024-11-23,65,453,18025010.04,1216836.95,0.00,16808173.09,258587.28,65
2024-11-24,62,502,18512174.10,1651604.56,0.00,16860569.54,271944.67,62
2024-11-25,62,538,20487993.01,1714501.98,0.00,18773491.03,302798.24,62
2024-11-26,44,345,13577396.97,938353.31,0.00,12639043.66,287250.99,44
2024-11-27,55,443,17246709.48,1252922.70,0.00,15993786.78,290796.12,54
2024-11-28,46,333,11697729.15,727435.31,0.00,10970293.84,238484.65,46
2024-11-29,65,483,17179803.41,1361432.47,0.00,15818370.94,243359.55,65
2024-11-30,44,308,11858157.83,1157646.42,0.00,10700511.41,243193.44,44
2024-12-01,44,345,13376220.08,1063431.78,0.00,12312788.30,279836.1,43
2024-12-02,59,434,17609182.31,1381092.02,0.00,16228090.29,275052.38,59
2024-12-03,62,472,18003401.83,1490081.92,0.00,16513319.91,266343.87,62
2024-12-04,63,475,15835646.45,1310792.61,0.00,14524853.84,230553.24,63
2024-12-05,54,413,15768911.91,1203154.73,0.00,14565757.18,269736.24,54
2024-12-06,63,445,16739236.60,1549309.23,0.00,15189927.37,241109.96,63
2024-12-07,47,363,14947605.51,1313804.16,0.00,13633801.35,290080.88,46
2024-12-08,50,366,14937211.97,1312401.01,0.00,13624810.96,272496.22,50
2024-12-09,50,378,14914158.10,1238507.92,0.00,13675650.18,273513.0,50
2024-12-10,44,351,12768042.71,1134021.44,0.00,11634021.27,264409.57,44
2024-12-11,59,441,16839874.88,1285055.13,0.00,15554819.75,263641.01,57
2024-12-12,64,499,19177675.73,1349713.37,0.00,17827962.36,278561.91,64
2024-12-13,55,400,15533416.82,1401500.83,0.00,14131915.99,256943.93,55
2024-12-14,46,352,14529485.22,984769.62,0.00,13544715.60,294450.34,46
