product_id,product_name,category,total_quantity_sold,total_orders,gross_revenue,net_revenue,average_selling_price
PROD00768,Pigeon Home Item 768,Home,373,153,26583956.18,23857853.32,63962.07
PROD00901,Harpercollins Books Item 901,Books,362,147,25647265.60,23812281.68,65779.78
PROD00630,Roadster Fashion Item 630,Fashion,364,152,25782538.60,23788641.57,65353.41
PROD00749,Lakme Beauty Item 749,Beauty,379,160,25888955.61,23757727.43,62685.3
PROD00216,Levi's Fashion Item 216,Fashion,377,144,25796571.84,23726687.72,62935.51
PROD00104,Lakme Beauty Item 104,Beauty,381,160,26008218.24,23711166.96,62234.03
PROD00635,Roadster Fashion Item 635,Fashion,452,184,25196328.68,23702387.05,52438.91
PROD00904,Harpercollins Books Item 904,Books,354,149,25634556.00,23690240.10,66921.58
PROD00505,Levi's Fashion Item 505,Fashion,371,147,25811809.31,23627198.09,63685.17
PROD00807,Hot Wheels Toys Item 807,Toys,379,153,25719030.96,23584826.43,62229.09
PROD00959,Pearson Books Item 959,Books,423,163,25954324.02,23552168.51,55678.89
PROD00202,Penguin Books Item 202,Books,352,136,25422365.76,23544577.45,66888.0
PROD00126,Noise Electronics Item 126,Electronics,346,146,25741929.44,23536009.80,68023.15
PROD00008,Hot Wheels Toys Item 8,Toys,396,152,25675503.48,23535878.13,59434.04
PROD00604,Mamaearth Beauty Item 604,Beauty,338,138,25266094.88,23501953.32,69532.41
PROD00914,Nilkamal Furniture Item 914,Furniture,362,145,25975096.42,23420639.55,64697.9
PROD00687,Nivia Sports Item 687,Sports,422,176,25436729.42,23399380.14,55448.77
PROD00396,Allen Solly Fashion Item 396,Fashion,352,146,25481452.48,23338693.95,66303.11
PROD00437,Ikea Furniture Item 437,Furniture,356,143,25023898.60,23308777.33,65474.09
PROD00972,Nike Sports Item 972,Sports,371,145,25005132.88,23239271.78,62639.55
PROD00359,Sony Electronics Item 359,Electronics,372,150,24712164.60,23121152.84,62153.64
PROD00441,Roadster Fashion Item 441,Fashion,398,159,25017034.26,23096756.92,58032.05
PROD00218,Harpercollins Books Item 218,Books,394,159,24773679.84,23038264.68,58472.75
PROD00381,Lakme Beauty Item 381,Beauty,373,142,24878551.69,23017662.67,61709.55
PROD00380,Samsung Electronics Item 380,Electronics,390,153,25391129.40,22991993.12,58953.83
PROD00375,L'oreal Beauty Item 375,Beauty,342,139,24926871.78,22991759.24,67227.37
PROD00788,Noise Electronics Item 788,Electronics,405,153,25036079.40,22986829.93,56757.6
PROD00448,Boat Electronics Item 448,Electronics,409,165,24905445.59,22978166.03,56181.34
PROD00298,Hometown Furniture Item 298,Furniture,381,152,24891263.40,22931321.40,60187.2
PROD00727,Levi's Fashion Item 727,Fashion,352,152,24687146.88,22926785.03,65132.91
PROD00221,Samsung Electronics Item 221,Electronics,390,163,24736374.00,22887488.61,58685.87
PROD00662,Cosco Sports Item 662,Sports,421,168,24754741.06,22861385.53,54302.58
PROD00036,Hamleys Toys Item 36,Toys,339,133,24474230.43,22824566.18,67329.1
PROD00796,Lg Electronics Item 796,Electronics,415,169,25077719.60,22775403.66,54880.49
PROD00642,Scholastic Books Item 642,Books,391,154,24542878.41,22772778.23,58242.4
PROD00952,Pigeon Home Item 952,Home,394,154,24675506.86,22755952.67,57756.23
PROD00199,Nilkamal Furniture Item 199,Furniture,391,152,24659517.62,22739102.54,58156.27
PROD00542,Roadster Fashion Item 542,Fashion,357,148,24702622.14,22713265.35,63622.59
PROD00149,Scholastic Books Item 149,Books,420,164,24777555.60,22703910.05,54056.93
PROD00879,L'oreal Beauty Item 879,Beauty,332,136,24877556.80,22700770.58,68375.82
PROD00621,Cosco Sports Item 621,Sports,366,148,24734883.90,22697297.05,62014.47
PROD00229,Pearson Books Item 229,Books,381,147,24559945.80,22664768.88,59487.58
PROD00303,Maybelline Beauty Item 303,Beauty,361,156,24525899.58,22518308.48,62377.59
PROD00241,Bajaj Home Item 241,Home,391,163,24582744.77,22514273.45,57581.26
PROD00829,Lego Toys Item 829,Toys,333,132,24234148.26,22505736.89,67584.8
PROD00109,Yonex Sports Item 109,Sports,336,129,24201021.60,22504789.17,66978.54
PROD00696,Prestige Home Item 696,Home,339,131,24235781.22,22487802.21,66335.7
PROD00826,Sony Electronics Item 826,Electronics,364,149,24034687.04,22459886.80,61702.99
PROD00127,Noise Electronics Item 127,Electronics,388,160,24593504.16,22447911.07,57855.44
PROD00858,Lg Electronics Item 858,Electronics,413,165,24528193.90,22446563.71,54350.03
PROD00305,Cello Home Item 305,Home,391,156,24572387.18,22432515.51,57372.16
PROD00124,Wakefit Furniture Item 124,Furniture,369,144,23821425.99,22417317.58,60751.54
PROD00744,Levi's Fashion Item 744,Fashion,364,138,24358053.72,22400710.05,61540.41
PROD00115,Mamaearth Beauty Item 115,Beauty,384,155,24416520.96,22372273.16,58261.13
PROD00548,Philips Electronics Item 548,Electronics,387,150,24045811.56,22349556.68,57750.79
PROD00206,Ikea Furniture Item 206,Furniture,390,156,24579769.50,22345531.31,57296.23
PROD00368,Allen Solly Fashion Item 368,Fashion,400,162,24194620.00,22340707.07,55851.77
PROD00636,Urban Ladder Furniture Item 636,Furniture,367,140,24232639.33,22274879.59,60694.49
PROD00862,Decathlon Sports Item 862,Sports,369,149,23944085.28,22250479.24,60299.4
PROD00555,Mamaearth Beauty Item 555,Beauty,347,138,24165798.29,22243677.23,64102.82
PROD00884,Prestige Home Item 884,Home,369,149,24174961.20,22196414.24,60152.88
PROD00235,Lg Electronics Item 235,Electronics,441,164,24075976.05,22143346.49,50211.67
PROD00601,Hamleys Toys Item 601,Toys,375,146,24127601.25,22139487.00,59038.63
PROD00605,Nivia Sports Item 605,Sports,393,157,23793571.92,22128627.30,56306.94
PROD00453,Maybelline Beauty Item 453,Beauty,354,143,24242557.20,22075108.23,62359.06
PROD00786,Lg Electronics Item 786,Electronics,415,173,23935245.35,22040612.04,53109.91
PROD00799,Maybelline Beauty Item 799,Beauty,337,133,23808001.93,22010038.57,65311.69
PROD00455,Allen Solly Fashion Item 455,Fashion,352,141,23742304.96,21924534.68,62285.61
PROD00795,Milton Home Item 795,Home,358,140,23684248.96,21921161.74,61232.3
PROD00849,Levi's Fashion Item 849,Fashion,367,139,23717297.93,21904572.44,59685.48
PROD00624,Yonex Sports Item 624,Sports,337,143,23332737.57,21857997.90,64860.53
PROD00091,Pearson Books Item 91,Books,355,148,23779351.95,21843511.72,61531.02
PROD00970,Scholastic Books Item 970,Books,421,167,23434670.30,21831538.29,51856.39
PROD00043,Penguin Books Item 43,Books,354,141,23893084.86,21831125.00,61669.84
PROD00278,Wakefit Furniture Item 278,Furniture,388,156,23498001.68,21787129.06,56152.39
PROD00825,Adidas Fashion Item 825,Fashion,345,141,23528289.30,21775602.28,63117.69
PROD00004,Nike Sports Item 4,Sports,414,159,23463284.40,21768713.86,52581.43
PROD00628,Harpercollins Books Item 628,Books,376,150,23534306.24,21766103.70,57888.57
PROD00743,Philips Electronics Item 743,Electronics,376,148,23447796.16,21760926.80,57874.81
PROD00656,Lg Electronics Item 656,Electronics,380,161,23182177.40,21684486.68,57064.44
PROD00659,Cosco Sports Item 659,Sports,391,167,23523322.45,21673342.28,55430.54
PROD00913,Mamaearth Beauty Item 913,Beauty,383,150,23700143.41,21664282.56,56564.71
PROD00986,Philips Electronics Item 986,Electronics,374,161,23438916.60,21649662.20,57886.8
PROD00531,Mamaearth Beauty Item 531,Beauty,343,144,23287041.75,21552394.65,62834.97
PROD00426,Hot Wheels Toys Item 426,Toys,375,149,23241663.75,21490791.72,57308.78
PROD00718,Nike Sports Item 718,Sports,349,148,23019921.34,21486359.19,61565.5
PROD00339,Cello Home Item 339,Home,371,145,23214887.22,21484721.13,57910.3
PROD00742,Cosco Sports Item 742,Sports,311,135,23145341.52,21437349.29,68930.38
PROD00028,Lego Toys Item 28,Toys,344,139,23432354.64,21412676.36,62246.15
PROD00917,Noise Electronics Item 917,Electronics,348,140,23096551.20,21397494.56,61487.05
PROD00271,Adidas Fashion Item 271,Fashion,393,151,23496153.45,21385684.58,54416.5
PROD00871,Nivia Sports Item 871,Sports,409,159,23148111.65,21382289.78,52279.44
PROD00164,Adidas Fashion Item 164,Fashion,346,135,23244411.48,21373437.83,61772.94
PROD00056,Funskool Toys Item 56,Toys,370,139,23105382.60,21356867.12,57721.26
PROD00645,Milton Home Item 645,Home,315,129,23225954.85,21331011.76,67717.5
PROD00317,Yonex Sports Item 317,Sports,413,161,23161407.57,21299522.02,51572.69
PROD00200,Hamleys Toys Item 200,Toys,390,150,23312753.10,21277370.39,54557.36
PROD00625,Puma Fashion Item 625,Fashion,408,156,23118177.60,21245491.89,52072.28
PROD00964,Nivea Beauty Item 964,Beauty,311,135,22957643.69,21174919.82,68086.56
PROD00110,Harpercollins Books Item 110,Books,340,137,23149807.80,21171861.03,62270.18
PROD00243,Milton Home Item 243,Home,410,163,22781354.80,21125539.29,51525.71
PROD00502,L'oreal Beauty Item 502,Beauty,369,149,22770831.33,21092330.97,57160.79
PROD00782,Samsung Electronics Item 782,Electronics,441,170,22662434.34,21053966.77,47741.42
PROD00457,Hot Wheels Toys Item 457,Toys,380,148,22448237.80,20950704.04,55133.43
PROD00372,Cello Home Item 372,Home,388,154,22455437.92,20944904.62,53981.71
PROD00962,Sony Electronics Item 962,Electronics,364,156,22653933.12,20926881.89,57491.43
PROD00134,Nivea Beauty Item 134,Beauty,317,132,22409275.24,20878799.45,65863.72
PROD00031,Oxford Books Item 31,Books,334,130,22612144.02,20719900.28,62035.63
PROD00789,Milton Home Item 789,Home,436,175,22433154.84,20712078.97,47504.77
PROD00587,Funskool Toys Item 587,Toys,350,148,22499043.00,20689477.01,59112.79
PROD00034,Nivea Beauty Item 34,Beauty,416,169,22325538.56,20672590.06,49693.73
PROD00865,Penguin Books Item 865,Books,425,162,22416548.50,20665420.56,48624.52
PROD01000,Prestige Home Item 1000,Home,361,147,22301103.51,20657864.24,57224.0
PROD00388,Adidas Fashion Item 388,Fashion,413,164,22523524.94,20644746.55,49987.28
PROD00536,Cello Home Item 536,Home,371,151,22214541.37,20624794.61,55592.44
PROD00440,Funskool Toys Item 440,Toys,375,153,22416315.00,20620020.92,54986.72
PROD00615,Wakefit Furniture Item 615,Furniture,344,139,22190913.68,20555624.02,59754.72
PROD00345,Pearson Books Item 345,Books,393,154,22170533.01,20500691.24,52164.61
PROD00978,Lego Toys Item 978,Toys,405,173,22228186.05,20499327.30,50615.62
PROD00853,Puma Fashion Item 853,Fashion,412,171,22355416.64,20456291.44,49651.19
PROD00386,Levi's Fashion Item 386,Fashion,401,160,22022771.63,20438340.38,50968.43
PROD00866,Harpercollins Books Item 866,Books,350,140,22281476.00,20397099.75,58277.43
PROD00146,Scholastic Books Item 146,Books,401,158,22049622.59,20389027.40,50845.45
PROD00166,Wakefit Furniture Item 166,Furniture,409,177,22175055.66,20383159.33,49836.58
PROD00751,Lakme Beauty Item 751,Beauty,411,161,22021869.09,20366210.19,49552.82
PROD00421,Yonex Sports Item 421,Sports,340,140,22059373.40,20327063.74,59785.48
PROD00369,Allen Solly Fashion Item 369,Fashion,364,146,21944071.24,20310323.05,55797.59
PROD00543,Penguin Books Item 543,Books,386,158,22216974.98,20277306.38,52531.88
PROD00496,Nivia Sports Item 496,Sports,337,135,21924495.45,20259014.37,60115.77
PROD00705,Pigeon Home Item 705,Home,387,163,22250909.43,20258676.77,52348.0
PROD00551,Funskool Toys Item 551,Toys,379,150,21893916.61,20238875.04,53400.73
PROD00619,Wakefit Furniture Item 619,Furniture,310,125,21907755.80,20225805.46,65244.53
PROD00249,Pigeon Home Item 249,Home,382,152,21694089.42,20223207.55,52940.33
PROD00663,Hot Wheels Toys Item 663,Toys,381,150,21971877.57,20207207.04,53037.29
PROD00111,Nike Sports Item 111,Sports,295,124,22098621.10,20199637.81,68473.35
PROD00893,Levi's Fashion Item 893,Fashion,411,161,21775277.31,20199086.48,49146.2
PROD00714,Maybelline Beauty Item 714,Beauty,416,161,22078784.00,20178734.80,48506.57
PROD00857,Urban Ladder Furniture Item 857,Furniture,407,160,21936180.75,20157571.35,49527.2
PROD00301,Lakme Beauty Item 301,Beauty,334,135,21494897.32,20124114.85,60251.84
PROD00557,Yonex Sports Item 557,Sports,308,130,21630544.32,20120619.96,65326.69
PROD00353,Mattel Toys Item 353,Toys,425,159,21904627.50,20087831.83,47265.49
PROD00996,Hamleys Toys Item 996,Toys,383,146,21659561.54,20061956.70,52381.09
PROD00759,Cosco Sports Item 759,Sports,423,161,21912275.61,20057761.54,47417.88
PROD00667,Oxford Books Item 667,Books,354,144,22007599.44,20043079.28,56618.87
PROD00664,Pearson Books Item 664,Books,375,154,21687596.25,19993071.92,53314.86
PROD00511,Mamaearth Beauty Item 511,Beauty,350,144,21773297.00,19987886.73,57108.25
PROD00665,Nivea Beauty Item 665,Beauty,384,153,21705062.40,19986744.96,52048.82
PROD00205,Levi's Fashion Item 205,Fashion,417,161,21810330.15,19961420.69,47869.11
PROD00423,Nivia Sports Item 423,Sports,369,147,21332048.67,19944598.40,54050.4
PROD00856,Hometown Furniture Item 856,Furniture,315,136,21690383.40,19931052.32,63273.18
PROD00316,Lego Toys Item 316,Toys,327,132,21517306.32,19911733.60,60892.15
PROD00265,Oxford Books Item 265,Books,459,178,21664226.25,19844714.24,43234.67
PROD00877,Hot Wheels Toys Item 877,Toys,383,155,21329358.09,19797876.81,51691.58
PROD00610,Yonex Sports Item 610,Sports,328,139,21487499.76,19741640.48,60187.93
PROD00463,Yonex Sports Item 463,Sports,381,155,21261937.41,19691009.61,51682.44
PROD00793,Mattel Toys Item 793,Toys,322,129,21242462.36,19678964.29,61114.8
PROD00960,Lego Toys Item 960,Toys,444,174,21588376.68,19675082.52,44313.25
PROD00484,Nike Sports Item 484,Sports,382,147,21299926.54,19649460.95,51438.38
PROD00413,Adidas Fashion Item 413,Fashion,381,153,21384013.62,19641300.79,51551.97
PROD00451,Nilkamal Furniture Item 451,Furniture,372,145,21155543.28,19620060.29,52742.1
PROD00957,Prestige Home Item 957,Home,387,161,21570110.64,19608178.11,50667.13
PROD00189,Maybelline Beauty Item 189,Beauty,343,147,21651250.74,19606059.59,57160.52
PROD00614,Sony Electronics Item 614,Electronics,388,149,21352641.04,19586095.17,50479.63
PROD00985,Scholastic Books Item 985,Books,344,142,20913655.44,19560955.40,56863.24
PROD00228,Urban Ladder Furniture Item 228,Furniture,389,162,21479381.88,19555072.19,50270.11
PROD00976,Scholastic Books Item 976,Books,329,131,21466397.89,19518762.77,59327.55
PROD00613,Harpercollins Books Item 613,Books,338,127,21299732.48,19494296.57,57675.43
PROD00607,Nike Sports Item 607,Sports,361,149,21179281.57,19460298.25,53906.64
PROD00356,Ikea Furniture Item 356,Furniture,363,145,21060247.23,19458972.36,53605.98
PROD00242,Penguin Books Item 242,Books,369,142,21246614.10,19415604.96,52616.82
PROD00526,Nivea Beauty Item 526,Beauty,340,140,21025895.80,19387112.83,57020.92
PROD00194,Roadster Fashion Item 194,Fashion,328,135,21090741.12,19338537.75,58958.96
PROD00450,Hamleys Toys Item 450,Toys,357,146,21090853.14,19300789.16,54063.84
PROD00054,Boat Electronics Item 54,Electronics,354,147,20567927.46,19295504.81,54507.08
PROD00819,Levi's Fashion Item 819,Fashion,448,171,20957462.40,19292092.46,43062.71
PROD00141,Bajaj Home Item 141,Home,387,144,21286981.44,19249041.72,49739.13
PROD00958,Pearson Books Item 958,Books,374,151,20646340.88,19246916.44,51462.34
PROD00803,Harpercollins Books Item 803,Books,386,157,20640570.28,19236904.49,49836.54
PROD00219,Oxford Books Item 219,Books,341,141,20499651.48,19228192.19,56387.66
PROD00333,Boat Electronics Item 333,Electronics,391,149,20576957.59,19221825.47,49160.68
PROD00354,Scholastic Books Item 354,Books,416,164,20869022.72,19208530.79,46174.35
PROD00154,Funskool Toys Item 154,Toys,308,130,20790138.60,19180252.79,62273.55
PROD00703,Decathlon Sports Item 703,Sports,400,164,20928292.00,19123226.78,47808.07
PROD00859,Penguin Books Item 859,Books,381,152,20498462.94,19096927.60,50123.17
PROD00323,Mamaearth Beauty Item 323,Beauty,354,134,20514494.70,19091808.59,53931.66
PROD00802,Pigeon Home Item 802,Home,379,152,20570509.25,19080639.77,50344.7
PROD00181,Nike Sports Item 181,Sports,386,145,20746415.34,19074877.65,49416.78
PROD00967,Samsung Electronics Item 967,Electronics,446,180,20731788.18,19058370.38,42731.77
PROD00005,Ikea Furniture Item 5,Furniture,416,154,20920194.88,19034359.93,45755.67
PROD00175,Adidas Fashion Item 175,Fashion,411,176,20556526.68,18948516.12,46103.45
PROD00504,Nivia Sports Item 504,Sports,358,143,20586754.20,18939238.71,52902.9
PROD00230,Bajaj Home Item 230,Home,367,149,20473792.30,18934073.73,51591.48
PROD00442,Scholastic Books Item 442,Books,377,155,20426338.79,18865918.30,50042.22
PROD00183,Nilkamal Furniture Item 183,Furniture,376,139,20642163.12,18857933.57,50154.08
PROD00762,Prestige Home Item 762,Home,395,159,20631059.35,18836940.58,47688.46
PROD00993,Ikea Furniture Item 993,Furniture,404,164,20487134.92,18795932.01,46524.58
PROD00563,Adidas Fashion Item 563,Fashion,358,143,20323595.56,18785133.52,52472.44
PROD00597,Wakefit Furniture Item 597,Furniture,370,154,20445138.10,18781898.43,50761.89
PROD00211,Cosco Sports Item 211,Sports,372,143,20326522.68,18766516.63,50447.63
PROD00783,Philips Electronics Item 783,Electronics,377,145,20382180.78,18735927.74,49697.42
PROD00654,Cello Home Item 654,Home,373,147,20104644.05,18700552.87,50135.53
PROD00612,Ikea Furniture Item 612,Furniture,327,135,20117036.73,18699000.83,57183.49
PROD00184,Lakme Beauty Item 184,Beauty,366,140,20439778.74,18688994.27,51062.83
PROD00373,Milton Home Item 373,Home,367,149,20434805.89,18647456.43,50810.51
PROD00595,Nivia Sports Item 595,Sports,381,147,20312439.69,18646393.11,48940.66
PROD00254,Milton Home Item 254,Home,378,154,20420969.94,18611174.90,49235.91
PROD00351,Harpercollins Books Item 351,Books,393,154,20194324.65,18580833.93,47279.48
PROD00462,Cosco Sports Item 462,Sports,380,151,20333648.00,18495593.24,48672.61
PROD00025,Hamleys Toys Item 25,Toys,326,133,19895998.42,18495344.62,56734.19
PROD00422,Milton Home Item 422,Home,354,141,19955312.76,18458664.28,52143.12
PROD00699,Urban Ladder Furniture Item 699,Furniture,391,154,20012291.03,18451229.92,47189.85
PROD00575,Philips Electronics Item 575,Electronics,335,139,20166423.80,18441743.08,55049.98
PROD00037,Wakefit Furniture Item 37,Furniture,373,148,19831164.18,18395664.32,49318.13
PROD00087,Lego Toys Item 87,Toys,405,161,19957837.05,18356282.35,45324.15
PROD00948,Boat Electronics Item 948,Electronics,381,151,20065986.03,18349053.93,48160.25
PROD00139,Noise Electronics Item 139,Electronics,363,150,19782360.18,18310944.86,50443.37
PROD00530,Sony Electronics Item 530,Electronics,345,149,19985967.30,18308884.01,53069.23
PROD00326,Milton Home Item 326,Home,414,164,20073204.00,18298616.40,44199.56
PROD00898,Nivia Sports Item 898,Sports,364,149,19795877.92,18292152.61,50253.17
PROD00401,Pigeon Home Item 401,Home,390,160,19850142.00,18246861.30,46786.82
PROD00934,Penguin Books Item 934,Books,356,144,20158144.00,18241421.60,51239.95
PROD00677,Levi's Fashion Item 677,Fashion,430,177,19799418.80,18236185.61,42409.73
PROD00902,Oxford Books Item 902,Books,406,152,19316249.82,18114931.29,44618.06
PROD00606,Lego Toys Item 606,Toys,387,157,19401916.05,18043280.46,46623.46
PROD00285,Nike Sports Item 285,Sports,462,178,19351835.58,17986316.42,38931.42
PROD00774,Harpercollins Books Item 774,Books,357,138,19419289.89,17917966.57,50190.38
PROD00852,Wakefit Furniture Item 852,Furniture,324,135,19481838.12,17915474.19,55294.67
PROD00148,Levi's Fashion Item 148,Fashion,397,158,19466660.77,17895108.05,45075.84
