payment_date,payment_method,payment_status,payment_count,payment_amount,refund_amount,net_payment_amount
2024-01-10,Net Banking,SUCCESS,10,1721101.00,0.00,1721101.00
2024-01-10,Upi,REFUNDED,1,113803.13,113803.13,0.00
2024-01-10,Upi,SUCCESS,9,3087336.58,0.00,3087336.58
2024-01-10,Wallet,PENDING,1,356826.59,0.00,356826.59
2024-01-10,Wallet,SUCCESS,4,981162.55,0.00,981162.55
2024-01-11,Credit Card,FAILED,2,537989.74,0.00,537989.74
2024-01-11,Credit Card,REFUNDED,3,1074186.04,1074186.04,0.00
2024-01-11,Credit Card,SUCCESS,8,2359809.54,0.00,2359809.54
2024-01-11,Debit Card,REFUNDED,2,331402.53,331402.53,0.00
2024-01-11,Debit Card,SUCCESS,9,2270384.67,0.00,2270384.67
2024-01-11,Net Banking,FAILED,1,37858.83,0.00,37858.83
2024-01-11,Net Banking,REFUNDED,1,133739.47,133739.47,0.00
2024-01-11,Net Banking,SUCCESS,8,2023225.10,0.00,2023225.10
2024-01-11,Upi,FAILED,2,709545.15,0.00,709545.15
2024-01-11,Upi,REFUNDED,1,122156.39,122156.39,0.00
2024-01-11,Upi,SUCCESS,13,2902379.95,0.00,2902379.95
2024-01-11,Wallet,FAILED,1,46913.40,0.00,46913.40
2024-01-11,Wallet,PENDING,1,210038.09,0.00,210038.09
2024-01-11,Wallet,REFUNDED,2,1021857.62,1021857.62,0.00
2024-01-11,Wallet,SUCCESS,3,816417.62,0.00,816417.62
2024-01-12,Credit Card,FAILED,3,432313.64,0.00,432313.64
2024-01-12,Credit Card,REFUNDED,2,588260.33,588260.33,0.00
2024-01-12,Credit Card,SUCCESS,14,3687156.20,0.00,3687156.20
2024-01-12,Debit Card,PENDING,1,139522.93,0.00,139522.93
2024-01-12,Debit Card,REFUNDED,1,305476.90,305476.90,0.00
2024-01-12,Debit Card,SUCCESS,8,2724124.00,0.00,2724124.00
2024-01-12,Net Banking,FAILED,1,613862.06,0.00,613862.06
2024-01-12,Net Banking,REFUNDED,1,354411.98,354411.98,0.00
2024-01-12,Net Banking,SUCCESS,7,1222923.83,0.00,1222923.83
2024-01-12,Upi,FAILED,2,748995.08,0.00,748995.08
2024-01-12,Upi,REFUNDED,1,395064.37,395064.37,0.00
2024-01-12,Upi,SUCCESS,5,1806494.54,0.00,1806494.54
2024-01-12,Wallet,REFUNDED,2,586506.64,586506.64,0.00
2024-01-12,Wallet,SUCCESS,10,3117520.28,0.00,3117520.28
2024-01-13,Credit Card,FAILED,1,122876.90,0.00,122876.90
2024-01-13,Credit Card,REFUNDED,2,296321.49,296321.49,0.00
2024-01-13,Credit Card,SUCCESS,5,1424486.11,0.00,1424486.11
2024-01-13,Debit Card,FAILED,1,240200.01,0.00,240200.01
2024-01-13,Debit Card,REFUNDED,2,289242.05,289242.05,0.00
2024-01-13,Debit Card,SUCCESS,8,2344135.00,0.00,2344135.00
2024-01-13,Net Banking,FAILED,1,201822.74,0.00,201822.74
2024-01-13,Net Banking,REFUNDED,3,724637.56,724637.56,0.00
2024-01-13,Net Banking,SUCCESS,12,3356441.38,0.00,3356441.38
2024-01-13,Upi,FAILED,1,439247.46,0.00,439247.46
2024-01-13,Upi,SUCCESS,10,3105887.96,0.00,3105887.96
2024-01-13,Wallet,PENDING,1,194025.03,0.00,194025.03
2024-01-13,Wallet,REFUNDED,1,259010.53,259010.53,0.00
2024-01-13,Wallet,SUCCESS,8,1986724.01,0.00,1986724.01
2024-01-14,Credit Card,FAILED,1,16070.82,0.00,16070.82
2024-01-14,Credit Card,PENDING,1,32931.26,0.00,32931.26
2024-01-14,Credit Card,REFUNDED,2,287666.76,287666.76,0.00
2024-01-14,Credit Card,SUCCESS,5,887204.53,0.00,887204.53
2024-01-14,Debit Card,FAILED,1,15144.90,0.00,15144.90
2024-01-14,Debit Card,REFUNDED,2,833847.27,833847.27,0.00
2024-01-14,Debit Card,SUCCESS,9,2327508.83,0.00,2327508.83
2024-01-14,Net Banking,FAILED,1,681010.82,0.00,681010.82
2024-01-14,Net Banking,SUCCESS,7,1677046.63,0.00,1677046.63
2024-01-14,Upi,FAILED,1,395151.09,0.00,395151.09
2024-01-14,Upi,REFUNDED,1,268795.94,268795.94,0.00
2024-01-14,Upi,SUCCESS,7,1721301.61,0.00,1721301.61
2024-01-14,Wallet,FAILED,1,164462.92,0.00,164462.92
2024-01-14,Wallet,PENDING,1,237659.22,0.00,237659.22
2024-01-14,Wallet,REFUNDED,2,575563.20,575563.20,0.00
2024-01-14,Wallet,SUCCESS,8,2841445.10,0.00,2841445.10
2024-01-15,Credit Card,FAILED,2,1027619.24,0.00,1027619.24
2024-01-15,Credit Card,REFUNDED,3,1097788.94,1097788.94,0.00
2024-01-15,Credit Card,SUCCESS,15,4320456.28,0.00,4320456.28
2024-01-15,Debit Card,PENDING,1,240976.64,0.00,240976.64
2024-01-15,Debit Card,REFUNDED,1,561602.05,561602.05,0.00
2024-01-15,Debit Card,SUCCESS,11,3798268.11,0.00,3798268.11
2024-01-15,Net Banking,REFUNDED,3,805454.90,805454.90,0.00
2024-01-15,Net Banking,SUCCESS,10,2012930.10,0.00,2012930.10
2024-01-15,Upi,FAILED,3,145373.62,0.00,145373.62
2024-01-15,Upi,PENDING,2,158128.59,0.00,158128.59
2024-01-15,Upi,REFUNDED,1,144527.00,144527.00,0.00
2024-01-15,Upi,SUCCESS,11,2760001.21,0.00,2760001.21
2024-01-15,Wallet,PENDING,2,242569.65,0.00,242569.65
2024-01-15,Wallet,REFUNDED,2,212216.27,212216.27,0.00
2024-01-15,Wallet,SUCCESS,7,1728045.94,0.00,1728045.94
2024-01-16,Credit Card,FAILED,2,517023.65,0.00,517023.65
2024-01-16,Credit Card,REFUNDED,2,353611.84,353611.84,0.00
2024-01-16,Credit Card,SUCCESS,3,785157.60,0.00,785157.60
2024-01-16,Debit Card,FAILED,4,991567.34,0.00,991567.34
2024-01-16,Debit Card,REFUNDED,3,678009.86,678009.86,0.00
2024-01-16,Debit Card,SUCCESS,8,2167835.37,0.00,2167835.37
2024-01-16,Net Banking,FAILED,2,87065.06,0.00,87065.06
2024-01-16,Net Banking,SUCCESS,7,2358371.05,0.00,2358371.05
2024-01-16,Upi,FAILED,1,222635.55,0.00,222635.55
2024-01-16,Upi,PENDING,1,530256.71,0.00,530256.71
2024-01-16,Upi,REFUNDED,2,1034571.58,1034571.58,0.00
2024-01-16,Upi,SUCCESS,6,2248736.39,0.00,2248736.39
2024-01-16,Wallet,FAILED,3,1174783.47,0.00,1174783.47
2024-01-16,Wallet,REFUNDED,1,224850.09,224850.09,0.00
2024-01-16,Wallet,SUCCESS,11,3032912.48,0.00,3032912.48
2024-01-17,Credit Card,FAILED,3,1037515.93,0.00,1037515.93
2024-01-17,Credit Card,SUCCESS,14,2198493.95,0.00,2198493.95
2024-01-17,Debit Card,PENDING,1,162078.76,0.00,162078.76
2024-01-17,Debit Card,REFUNDED,2,922202.28,922202.28,0.00
2024-01-17,Debit Card,SUCCESS,11,3204028.79,0.00,3204028.79
2024-01-17,Net Banking,FAILED,1,494429.86,0.00,494429.86
2024-01-17,Net Banking,REFUNDED,2,1044406.35,1044406.35,0.00
2024-01-17,Net Banking,SUCCESS,3,558059.62,0.00,558059.62
2024-01-17,Upi,FAILED,3,523875.97,0.00,523875.97
2024-01-17,Upi,PENDING,2,219198.94,0.00,219198.94
2024-01-17,Upi,SUCCESS,7,1810619.14,0.00,1810619.14
2024-01-17,Wallet,FAILED,2,530791.89,0.00,530791.89
2024-01-17,Wallet,REFUNDED,1,376446.11,376446.11,0.00
2024-01-17,Wallet,SUCCESS,5,1041703.15,0.00,1041703.15
2024-01-18,Credit Card,FAILED,2,445364.54,0.00,445364.54
2024-01-18,Credit Card,PENDING,1,336009.35,0.00,336009.35
2024-01-18,Credit Card,REFUNDED,3,973485.63,973485.63,0.00
2024-01-18,Credit Card,SUCCESS,9,2993270.03,0.00,2993270.03
2024-01-18,Debit Card,FAILED,2,661674.94,0.00,661674.94
2024-01-18,Debit Card,REFUNDED,5,1691252.03,1691252.03,0.00
2024-01-18,Debit Card,SUCCESS,8,2066963.84,0.00,2066963.84
2024-01-18,Net Banking,FAILED,2,790023.02,0.00,790023.02
2024-01-18,Net Banking,PENDING,1,704711.63,0.00,704711.63
2024-01-18,Net Banking,REFUNDED,5,788164.38,788164.38,0.00
2024-01-18,Net Banking,SUCCESS,4,1237253.66,0.00,1237253.66
2024-01-18,Upi,FAILED,1,23033.78,0.00,23033.78
2024-01-18,Upi,PENDING,2,700698.27,0.00,700698.27
2024-01-18,Upi,REFUNDED,2,779514.26,779514.26,0.00
2024-01-18,Upi,SUCCESS,12,2956343.73,0.00,2956343.73
2024-01-18,Wallet,FAILED,2,611487.42,0.00,611487.42
2024-01-18,Wallet,PENDING,1,282743.58,0.00,282743.58
2024-01-18,Wallet,REFUNDED,1,272868.63,272868.63,0.00
2024-01-18,Wallet,SUCCESS,12,3201616.12,0.00,3201616.12
2024-01-19,Credit Card,FAILED,1,92428.68,0.00,92428.68
2024-01-19,Credit Card,REFUNDED,3,753311.76,753311.76,0.00
2024-01-19,Credit Card,SUCCESS,8,2479937.78,0.00,2479937.78
2024-01-19,Debit Card,SUCCESS,12,2082798.08,0.00,2082798.08
2024-01-19,Net Banking,SUCCESS,3,288657.67,0.00,288657.67
2024-01-19,Upi,PENDING,1,26943.44,0.00,26943.44
2024-01-19,Upi,REFUNDED,1,350790.93,350790.93,0.00
2024-01-19,Upi,SUCCESS,8,1528757.33,0.00,1528757.33
2024-01-19,Wallet,PENDING,1,13844.47,0.00,13844.47
2024-01-19,Wallet,SUCCESS,9,2017626.85,0.00,2017626.85
2024-01-20,Credit Card,FAILED,1,527963.20,0.00,527963.20
2024-01-20,Credit Card,PENDING,1,90485.05,0.00,90485.05
2024-01-20,Credit Card,SUCCESS,12,3180752.41,0.00,3180752.41
2024-01-20,Debit Card,FAILED,2,909815.11,0.00,909815.11
2024-01-20,Debit Card,REFUNDED,4,1442454.44,1442454.44,0.00
2024-01-20,Debit Card,SUCCESS,7,987680.08,0.00,987680.08
2024-01-20,Net Banking,FAILED,3,1736779.88,0.00,1736779.88
2024-01-20,Net Banking,SUCCESS,4,1409411.05,0.00,1409411.05
2024-01-20,Upi,FAILED,1,262792.19,0.00,262792.19
2024-01-20,Upi,PENDING,1,212789.01,0.00,212789.01
2024-01-20,Upi,REFUNDED,3,583163.50,583163.50,0.00
2024-01-20,Upi,SUCCESS,8,1797016.08,0.00,1797016.08
2024-01-20,Wallet,FAILED,1,383908.73,0.00,383908.73
2024-01-20,Wallet,SUCCESS,6,1483530.14,0.00,1483530.14
2024-01-21,Credit Card,REFUNDED,1,460559.52,460559.52,0.00
2024-01-21,Credit Card,SUCCESS,6,1496451.40,0.00,1496451.40
2024-01-21,Debit Card,FAILED,2,481144.22,0.00,481144.22
2024-01-21,Debit Card,PENDING,2,978139.17,0.00,978139.17
2024-01-21,Debit Card,REFUNDED,1,173431.29,173431.29,0.00
2024-01-21,Debit Card,SUCCESS,11,4218098.12,0.00,4218098.12
2024-01-21,Net Banking,FAILED,4,1594242.43,0.00,1594242.43
2024-01-21,Net Banking,REFUNDED,3,1318928.86,1318928.86,0.00
2024-01-21,Net Banking,SUCCESS,7,1527228.10,0.00,1527228.10
2024-01-21,Upi,FAILED,2,267733.42,0.00,267733.42
2024-01-21,Upi,REFUNDED,4,797038.01,797038.01,0.00
2024-01-21,Upi,SUCCESS,5,835794.22,0.00,835794.22
2024-01-21,Wallet,FAILED,2,629040.48,0.00,629040.48
2024-01-21,Wallet,PENDING,1,187884.57,0.00,187884.57
2024-01-21,Wallet,SUCCESS,10,2803883.47,0.00,2803883.47
2024-01-22,Credit Card,REFUNDED,3,1010052.21,1010052.21,0.00
2024-01-22,Credit Card,SUCCESS,11,2908692.54,0.00,2908692.54
2024-01-22,Debit Card,REFUNDED,2,237991.89,237991.89,0.00
2024-01-22,Debit Card,SUCCESS,5,1073420.02,0.00,1073420.02
2024-01-22,Net Banking,SUCCESS,11,2958961.53,0.00,2958961.53
2024-01-22,Upi,FAILED,1,263208.64,0.00,263208.64
2024-01-22,Upi,REFUNDED,2,634516.57,634516.57,0.00
2024-01-22,Upi,SUCCESS,6,1217436.77,0.00,1217436.77
2024-01-22,Wallet,FAILED,3,770498.72,0.00,770498.72
2024-01-22,Wallet,REFUNDED,1,294910.53,294910.53,0.00
2024-01-22,Wallet,SUCCESS,9,3113161.68,0.00,3113161.68
2024-01-23,Credit Card,REFUNDED,3,1300168.87,1300168.87,0.00
2024-01-23,Credit Card,SUCCESS,7,2179060.73,0.00,2179060.73
2024-01-23,Debit Card,PENDING,1,362113.34,0.00,362113.34
2024-01-23,Debit Card,REFUNDED,2,681033.71,681033.71,0.00
2024-01-23,Debit Card,SUCCESS,11,1651639.68,0.00,1651639.68
2024-01-23,Net Banking,PENDING,1,433089.20,0.00,433089.20
2024-01-23,Net Banking,SUCCESS,9,2446205.65,0.00,2446205.65
2024-01-23,Upi,REFUNDED,1,138598.21,138598.21,0.00
2024-01-23,Upi,SUCCESS,4,796058.25,0.00,796058.25
2024-01-23,Wallet,FAILED,2,350945.68,0.00,350945.68
2024-01-23,Wallet,REFUNDED,1,195275.70,195275.70,0.00
2024-01-23,Wallet,SUCCESS,5,2365977.01,0.00,2365977.01
2024-01-24,Credit Card,FAILED,1,133405.76,0.00,133405.76
2024-01-24,Credit Card,SUCCESS,10,2667577.05,0.00,2667577.05
2024-01-24,Debit Card,FAILED,2,225485.42,0.00,225485.42
2024-01-24,Debit Card,PENDING,1,323718.07,0.00,323718.07
2024-01-24,Debit Card,REFUNDED,2,538055.57,538055.57,0.00
2024-01-24,Debit Card,SUCCESS,5,1597136.83,0.00,1597136.83
2024-01-24,Net Banking,FAILED,1,326733.63,0.00,326733.63
2024-01-24,Net Banking,REFUNDED,1,517952.78,517952.78,0.00
2024-01-24,Net Banking,SUCCESS,7,3198165.96,0.00,3198165.96
2024-01-24,Upi,FAILED,3,779861.23,0.00,779861.23
2024-01-24,Upi,REFUNDED,1,216852.59,216852.59,0.00
2024-01-24,Upi,SUCCESS,7,1640350.41,0.00,1640350.41
2024-01-24,Wallet,FAILED,1,659416.21,0.00,659416.21
2024-01-24,Wallet,REFUNDED,5,1520643.99,1520643.99,0.00
2024-01-24,Wallet,SUCCESS,8,2010018.49,0.00,2010018.49
2024-01-25,Credit Card,FAILED,1,736359.85,0.00,736359.85
2024-01-25,Credit Card,PENDING,1,440014.64,0.00,440014.64
2024-01-25,Credit Card,REFUNDED,4,1316019.85,1316019.85,0.00
2024-01-25,Credit Card,SUCCESS,8,1761356.05,0.00,1761356.05
2024-01-25,Debit Card,FAILED,1,57129.14,0.00,57129.14
2024-01-25,Debit Card,SUCCESS,1,147876.62,0.00,147876.62
2024-01-25,Net Banking,FAILED,2,269747.48,0.00,269747.48
2024-01-25,Net Banking,PENDING,1,76990.93,0.00,76990.93
2024-01-25,Net Banking,SUCCESS,6,1685996.67,0.00,1685996.67
2024-01-25,Upi,FAILED,1,343945.66,0.00,343945.66
2024-01-25,Upi,REFUNDED,1,37229.25,37229.25,0.00
2024-01-25,Upi,SUCCESS,5,1150738.91,0.00,1150738.91
2024-01-25,Wallet,FAILED,1,37177.16,0.00,37177.16
2024-01-25,Wallet,SUCCESS,5,2156793.79,0.00,2156793.79
2024-01-26,Credit Card,REFUNDED,2,1042990.90,1042990.90,0.00
2024-01-26,Credit Card,SUCCESS,10,2264877.45,0.00,2264877.45
2024-01-26,Debit Card,REFUNDED,2,589054.34,589054.34,0.00
2024-01-26,Debit Card,SUCCESS,10,2294995.28,0.00,2294995.28
2024-01-26,Net Banking,FAILED,1,217750.97,0.00,217750.97
2024-01-26,Net Banking,SUCCESS,6,2187598.38,0.00,2187598.38
2024-01-26,Upi,FAILED,1,540907.45,0.00,540907.45
2024-01-26,Upi,REFUNDED,3,915385.48,915385.48,0.00
2024-01-26,Upi,SUCCESS,5,1725251.64,0.00,1725251.64
2024-01-26,Wallet,FAILED,1,132704.47,0.00,132704.47
2024-01-26,Wallet,PENDING,1,348721.55,0.00,348721.55
2024-01-26,Wallet,REFUNDED,2,856510.28,856510.28,0.00
2024-01-26,Wallet,SUCCESS,9,1897102.07,0.00,1897102.07
2024-01-27,Credit Card,FAILED,2,439709.05,0.00,439709.05
2024-01-27,Credit Card,REFUNDED,2,71170.06,71170.06,0.00
2024-01-27,Credit Card,SUCCESS,7,2135807.28,0.00,2135807.28
2024-01-27,Debit Card,FAILED,1,25741.28,0.00,25741.28
2024-01-27,Debit Card,PENDING,1,357770.87,0.00,357770.87
2024-01-27,Debit Card,REFUNDED,3,608461.86,608461.86,0.00
2024-01-27,Debit Card,SUCCESS,6,1476876.19,0.00,1476876.19
2024-01-27,Net Banking,FAILED,3,531057.79,0.00,531057.79
2024-01-27,Net Banking,REFUNDED,1,133257.48,133257.48,0.00
2024-01-27,Net Banking,SUCCESS,4,896619.39,0.00,896619.39
2024-01-27,Upi,FAILED,1,634351.25,0.00,634351.25
2024-01-27,Upi,PENDING,1,121616.98,0.00,121616.98
2024-01-27,Upi,REFUNDED,1,129299.34,129299.34,0.00
2024-01-27,Upi,SUCCESS,8,2336071.20,0.00,2336071.20
2024-01-27,Wallet,FAILED,1,285814.26,0.00,285814.26
2024-01-27,Wallet,REFUNDED,2,343293.41,343293.41,0.00
2024-01-27,Wallet,SUCCESS,7,2686167.81,0.00,2686167.81
2024-01-28,Credit Card,FAILED,1,569098.82,0.00,569098.82
2024-01-28,Credit Card,PENDING,1,469784.27,0.00,469784.27
2024-01-28,Credit Card,REFUNDED,2,721882.10,721882.10,0.00
2024-01-28,Credit Card,SUCCESS,4,1109645.61,0.00,1109645.61
2024-01-28,Debit Card,FAILED,2,428782.80,0.00,428782.80
2024-01-28,Debit Card,SUCCESS,8,2580975.79,0.00,2580975.79
2024-01-28,Net Banking,FAILED,3,541459.37,0.00,541459.37
2024-01-28,Net Banking,SUCCESS,3,714184.77,0.00,714184.77
2024-01-28,Upi,REFUNDED,2,486083.66,486083.66,0.00
2024-01-28,Upi,SUCCESS,3,576435.73,0.00,576435.73
2024-01-28,Wallet,FAILED,1,361712.01,0.00,361712.01
2024-01-28,Wallet,SUCCESS,7,1200667.75,0.00,1200667.75
2024-01-29,Credit Card,FAILED,1,129073.75,0.00,129073.75
2024-01-29,Credit Card,REFUNDED,1,180387.39,180387.39,0.00
2024-01-29,Credit Card,SUCCESS,10,2134297.23,0.00,2134297.23
2024-01-29,Debit Card,REFUNDED,5,867868.60,867868.60,0.00
